rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Finding Nemo,,"$339,714,184","3,425","$339,714,978",May 30,Walt Disney Studios Motion Pictures
2,Pirates of the Caribbean: The Curse of the Black Pearl,,"$305,398,779","3,416","$305,413,918",Jul 9,Walt Disney Studios Motion Pictures
3,The Matrix Reloaded,,"$281,576,461","3,603","$281,576,461",May 15,Warner Bros.
4,The Lord of the Rings: The Return of the King,,"$249,445,927","3,703","$377,027,325",Dec 17,New Line Cinema
5,Bruce Almighty,,"$242,829,261","3,549","$242,829,261",May 23,Universal Pictures
6,X-Men 2,,"$214,949,694","3,749","$214,949,694",May 2,Twentieth Century Fox
7,Elf,,"$167,547,000","3,381","$173,398,518",Nov 7,New Line Cinema
8,Chicago,,"$167,511,932","2,701","$170,687,518",Dec 27,Miramax
9,Terminator 3: Rise of the Machines,,"$150,371,112","3,504","$150,371,112",Jul 2,Warner Bros.
10,Bad Boys II,,"$138,608,444","3,202","$138,608,444",Jul 18,Sony Pictures Releasing
11,The Matrix Revolutions,,"$138,041,173","3,502","$139,313,948",Nov 5,Warner Bros.
12,Anger Management,,"$135,645,823","3,656","$135,645,823",Apr 11,Revolution Studios
13,Bringing Down the House,,"$132,716,848","2,910","$132,716,677",Mar 7,Walt Disney Studios Motion Pictures
14,Hulk,,"$132,177,234","3,674","$132,177,234",Jun 20,Universal Pictures
15,2 Fast 2 Furious,,"$127,154,901","3,418","$127,154,901",Jun 6,Universal Pictures
16,The Lord of the Rings: The Two Towers,,"$121,193,976","3,622","$339,789,881",Dec 18,New Line Cinema
17,Seabiscuit,,"$120,231,534","2,573","$120,277,854",Jul 25,Universal Pictures
18,S.W.A.T.,,"$116,934,650","3,220","$116,934,650",Aug 8,Sony Pictures Releasing
19,Spy Kids 3: Game Over,,"$111,637,760","3,388","$111,761,982",Jul 25,Dimension Films
20,Freaky Friday,,"$110,100,826","3,067","$110,230,332",Aug 6,Walt Disney Studios Motion Pictures
21,Scary Movie 3,,"$109,362,202","3,505","$110,003,217",Oct 24,Dimension Films
22,The Italian Job,,"$106,128,601","2,877","$106,128,601",May 30,Paramount Pictures
23,How to Lose a Guy in 10 Days,,"$105,813,373","2,923","$105,813,373",Feb 7,Paramount Pictures
24,American Wedding,,"$104,565,114","3,175","$104,565,114",Aug 1,Universal Pictures
25,Daddy Day Care,,"$104,297,061","3,472","$104,297,061",May 9,Revolution Studios
26,Daredevil,,"$102,543,518","3,474","$102,543,518",Feb 14,Twentieth Century Fox
27,Catch Me If You Can,,"$102,042,590","3,225","$164,615,351",Dec 25,DreamWorks Distribution
28,Charlie's Angels: Full Throttle,,"$100,830,111","3,485","$100,830,111",Jun 27,Sony Pictures Releasing
29,The Cat in the Hat,,"$98,050,995","3,467","$101,149,285",Nov 21,Universal Pictures
30,"Legally Blonde 2: Red, White & Blonde",,"$90,186,328","3,375","$90,186,328",Jul 2,Metro-Goldwyn-Mayer (MGM)
31,Freddy vs. Jason,,"$82,618,358","3,014","$82,622,655",Aug 15,New Line Cinema
32,Brother Bear,,"$82,580,265","3,030","$85,336,277",Oct 24,Walt Disney Studios Motion Pictures
33,Master and Commander: The Far Side of the World,,"$81,531,748","3,101","$93,927,920",Nov 14,Twentieth Century Fox
34,The Texas Chainsaw Massacre,,"$80,235,942","3,018","$80,571,655",Oct 17,New Line Cinema
35,School of Rock,,"$79,870,600","2,951","$81,261,177",Oct 3,Paramount Pictures
36,The Last Samurai,,"$79,722,506","2,938","$111,127,263",Dec 5,Warner Bros.
37,Old School,,"$75,585,093","2,742","$75,585,093",Feb 21,DreamWorks Distribution
38,Kill Bill: Vol. 1,,"$69,709,607","3,102","$70,099,045",Oct 10,Miramax
39,Holes,,"$67,406,573","2,452","$67,406,573",Apr 18,Walt Disney Studios Motion Pictures
40,The Haunted Mansion,,"$67,016,288","3,122","$75,847,266",Nov 26,Walt Disney Studios Motion Pictures
41,Kangaroo Jack,,"$66,934,963","2,848","$66,934,963",Jan 17,Warner Bros.
42,The League of Extraordinary Gentlemen,,"$66,465,204","3,002","$66,465,204",Jul 11,Twentieth Century Fox
43,Lara Croft: Tomb Raider - The Cradle of Life,,"$65,660,196","3,222","$65,660,196",Jul 25,Paramount Pictures
44,Something's Gotta Give,,"$65,230,765","2,876","$124,728,738",Dec 12,Sony Pictures Releasing
45,About Schmidt,,"$61,997,645","1,240","$65,016,287",Dec 13,New Line Cinema
46,Shanghai Knights,,"$60,476,906","2,755","$60,476,872",Feb 7,Walt Disney Studios Motion Pictures
47,Open Range,,"$58,331,254","2,268","$58,331,254",Aug 15,Walt Disney Studios Motion Pictures
48,Gothika,,"$57,711,948","2,382","$59,694,580",Nov 21,Warner Bros.
49,Love Actually,,"$56,446,240","1,714","$59,696,144",Nov 7,Universal Pictures
50,Once Upon a Time in Mexico,,"$56,359,780","3,289","$56,359,780",Sep 12,Sony Pictures Releasing
51,Just Married,,"$56,127,162","2,769","$56,127,162",Jan 10,Twentieth Century Fox
52,Cheaper by the Dozen,,"$55,618,744","3,307","$138,614,544",Dec 25,Twentieth Century Fox
53,Mystic River,,"$53,765,605","1,581","$90,135,191",Oct 8,Warner Bros.
54,Bad Santa,,"$52,849,000","2,540","$60,060,328",Nov 26,Dimension Films
55,The Recruit,,"$52,802,070","2,376","$52,802,140",Jan 31,Walt Disney Studios Motion Pictures
56,Identity,,"$52,180,374","2,733","$52,159,536",Apr 25,Sony Pictures Releasing
57,Underworld,,"$51,791,168","2,928","$51,970,690",Sep 19,Screen Gems
58,Radio,,"$51,422,388","3,074","$52,333,738",Oct 24,Revolution Studios
59,Runaway Jury,,"$48,931,905","2,815","$49,443,628",Oct 17,Twentieth Century Fox
60,Agent Cody Banks,,"$47,938,330","3,369","$47,938,330",Mar 14,Metro-Goldwyn-Mayer (MGM)
61,The Jungle Book 2,,"$47,906,341","2,815","$47,901,582",Feb 14,Walt Disney Studios Motion Pictures
62,The Rundown,,"$47,726,342","3,154","$47,726,342",Sep 26,Universal Pictures
63,Final Destination 2,,"$46,977,989","2,834","$46,961,214",Jan 31,New Line Cinema
64,Phone Booth,,"$46,566,212","2,489","$46,566,212",Apr 4,Twentieth Century Fox
65,28 Days Later,,"$45,064,915","1,407","$45,064,915",Jun 27,-
66,Tears of the Sun,,"$43,734,892","2,973","$43,734,876",Mar 7,Revolution Studios
67,Gangs of New York,,"$43,461,051","2,340","$77,812,000",Dec 20,Miramax
68,Under the Tuscan Sun,,"$43,180,328","1,701","$43,610,723",Sep 26,Walt Disney Studios Motion Pictures
69,Two Weeks Notice,,"$43,153,532","2,755","$93,354,851",Dec 20,Warner Bros.
70,The Lizzie McGuire Movie,,"$42,734,455","2,825","$42,734,455",May 2,Walt Disney Studios Motion Pictures
71,Secondhand Lions,,"$42,071,531","3,038","$42,070,939",Sep 19,New Line Cinema
72,The Hours,,"$41,168,679","1,010","$41,675,994",Dec 27,Paramount Pictures
73,Out of Time,,"$41,052,503","3,076","$41,088,845",Oct 3,Metro-Goldwyn-Mayer (MGM)
74,Rugrats Go Wild,,"$39,402,572","3,041","$39,402,572",Jun 13,Paramount Pictures
75,Mona Lisa Smile,,"$38,594,145","2,714","$63,860,942",Dec 19,Revolution Studios
76,Head of State,,"$38,125,247","2,256","$38,125,247",Mar 28,DreamWorks Distribution
77,Good Boy,,"$37,650,360","3,225","$37,667,746",Oct 10,Metro-Goldwyn-Mayer (MGM)
