rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Shrek 2,,"$441,226,247","4,223","$441,426,807",May 19 2004,DreamWorks Distribution
2,Spider-Man 2,,"$373,585,825","4,166","$373,585,825",Jun 30 2004,Sony Pictures Releasing
3,The Passion of the Christ,,"$370,274,604","3,408","$370,274,604",Feb 25 2004,Newmarket Films
4,Harry Potter and the Prisoner of Azkaban,,"$249,541,069","3,855","$249,541,069",Jun 4 2004,Warner Bros.
5,The Incredibles,,"$248,939,765","3,933","$261,441,092",Nov 5 2004,Walt Disney Studios Motion Pictures
6,The Day After Tomorrow,,"$186,740,799","3,444","$186,740,799",May 28 2004,Twentieth Century Fox
7,The Bourne Supremacy,,"$176,241,941","3,304","$176,241,941",Jul 23 2004,Universal Pictures
8,Shark Tale,,"$160,531,869","4,070","$160,861,908",Oct 1 2004,DreamWorks Distribution
9,The Polar Express,,"$151,621,905","3,650","$162,775,358",Nov 10 2004,Warner Bros.
10,National Treasure,,"$150,121,985","3,243","$173,008,894",Nov 19 2004,Walt Disney Studios Motion Pictures
11,"I, Robot",,"$144,801,023","3,494","$144,801,023",Jul 16 2004,Twentieth Century Fox
12,Troy,,"$133,378,256","3,411","$133,378,256",May 14 2004,Warner Bros.
13,Meet the Fockers,,"$132,859,765","3,554","$279,261,160",Dec 22 2004,Universal Pictures
14,The Lord of the Rings: The Return of the King,,"$127,581,398","3,703","$377,027,325",Dec 17 2004,New Line Cinema
15,50 First Dates,,"$120,908,074","3,612","$120,908,074",Feb 13 2004,Sony Pictures Releasing
16,Van Helsing,,"$120,177,084","3,580","$120,177,084",May 7 2004,Universal Pictures
17,Fahrenheit 9/11,,"$119,200,156","2,011","$119,194,771",Jun 23 2004,Lionsgate Films
18,Dodgeball: A True Underdog Story,,"$114,326,736","3,020","$114,326,736",Jun 18 2004,Twentieth Century Fox
19,The Village,,"$114,197,520","3,733","$114,197,520",Jul 30 2004,Walt Disney Studios Motion Pictures
20,The Grudge,,"$110,359,362","3,348","$110,359,362",Oct 22 2004,Sony Pictures Releasing
21,Collateral,,"$101,005,703","3,205","$101,005,703",Aug 6 2004,DreamWorks Distribution
22,Ocean's Twelve,,"$100,416,657","3,290","$125,544,280",Dec 10 2004,Warner Bros.
23,The Princess Diaries 2: Royal Engagement,,"$95,170,481","3,490","$95,170,481",Aug 11 2004,Walt Disney Studios Motion Pictures
24,Starsky & Hutch,,"$88,237,754","3,185","$88,237,754",Mar 5 2004,Warner Bros.
25,Along Came Polly,,"$88,097,164","3,052","$88,097,164",Jan 16 2004,Universal Pictures
26,Mean Girls,,"$86,058,055","3,054","$86,058,055",Apr 30 2004,Paramount Pictures
27,Anchorman: The Legend of Ron Burgundy,,"$85,288,303","3,104","$85,288,303",Jul 9 2004,DreamWorks Distribution
28,A Series of Unfortunate Events,,"$84,757,072","3,623","$118,634,549",Dec 17 2004,Paramount Pictures
29,Scooby-Doo 2: Monsters Unleashed,,"$84,216,833","3,312","$84,216,833",Mar 26 2004,Warner Bros.
30,Cheaper by the Dozen,,"$82,995,800","3,307","$138,614,544",Dec 25 2004,Twentieth Century Fox
31,The SpongeBob SquarePants Movie,,"$81,106,338","3,307","$85,417,988",Nov 19 2004,Paramount Pictures
32,The Notebook,,"$81,001,255","2,323","$81,001,787",Jun 25 2004,New Line Cinema
33,Alien vs. Predator,,"$80,282,231","3,401","$80,282,231",Aug 13 2004,Twentieth Century Fox
34,Man on Fire,,"$77,911,774","2,986","$77,911,774",Apr 21 2004,Twentieth Century Fox
35,The Terminal,,"$77,872,883","2,914","$77,872,883",Jun 18 2004,DreamWorks Distribution
36,Garfield: The Movie,,"$75,369,589","3,150","$75,369,589",Jun 11 2004,Twentieth Century Fox
37,Ladder 49,,"$73,740,094","3,261","$74,541,707",Oct 1 2004,Walt Disney Studios Motion Pictures
38,Christmas with the Kranks,,"$72,095,903","3,416","$73,780,539",Nov 24 2004,Revolution Studios
39,Ray,,"$71,278,355","2,474","$75,331,600",Oct 29 2004,Universal Pictures
40,White Chicks,,"$70,831,760","2,800","$70,831,760",Jun 23 2004,Sony Pictures Releasing
41,Cold Mountain,,"$67,581,356","2,802","$95,636,509",Dec 25 2004,Miramax
42,Hidalgo,,"$67,303,450","3,065","$67,303,450",Mar 5 2004,Walt Disney Studios Motion Pictures
43,The Forgotten,,"$67,133,509","3,144","$67,133,509",Sep 24 2004,Revolution Studios
44,Kill Bill: Vol. 2,,"$66,211,165","3,073","$66,208,183",Apr 16 2004,Miramax
45,The Manchurian Candidate,,"$65,955,630","2,867","$65,955,630",Jul 30 2004,Paramount Pictures
46,Barbershop 2: Back in Business,,"$65,111,277","2,711","$65,111,277",Feb 6 2004,Metro-Goldwyn-Mayer (MGM)
47,Miracle,,"$64,378,093","2,755","$64,378,093",Feb 6 2004,Walt Disney Studios Motion Pictures
48,Big Fish,,"$61,844,175","2,514","$66,809,693",Dec 10 2004,Sony Pictures Releasing
49,Friday Night Lights,,"$61,255,921","3,004","$61,255,921",Oct 8 2004,Universal Pictures
50,Hellboy,,"$59,623,958","3,043","$59,623,958",Apr 2 2004,Revolution Studios
51,Something's Gotta Give,,"$59,497,973","2,876","$124,728,738",Dec 12 2004,Sony Pictures Releasing
52,The Stepford Wives,,"$59,484,742","3,057","$59,484,742",Jun 11 2004,Paramount Pictures
53,Dawn of the Dead,,"$59,020,957","2,748","$59,020,957",Mar 19 2004,Universal Pictures
54,Without a Paddle,,"$58,085,096","2,756","$58,169,327",Aug 20 2004,Paramount Pictures
55,The Butterfly Effect,,"$57,939,826","2,605","$57,938,693",Jan 23 2004,New Line Cinema
56,The Chronicles of Riddick,,"$57,761,012","2,757","$57,761,012",Jun 11 2004,Universal Pictures
57,13 Going on 30,,"$57,231,747","3,453","$57,231,747",Apr 23 2004,Revolution Studios
58,Shall We Dance?,,"$57,004,141","2,542","$57,890,460",Oct 15 2004,Miramax
59,Saw,,"$55,185,045","2,467","$55,185,045",Oct 29 2004,Lionsgate Films
60,Hero,,"$53,707,388","2,175","$53,710,019",Aug 27 2004,Miramax
61,King Arthur,,"$51,882,244","3,086","$51,882,244",Jul 7 2004,Walt Disney Studios Motion Pictures
62,A Cinderella Story,,"$51,438,175","2,625","$51,438,175",Jul 16 2004,Warner Bros.
63,Resident Evil: Apocalypse,,"$51,201,453","3,284","$51,201,453",Sep 10 2004,Screen Gems
64,Home on the Range,,"$50,030,461","3,058","$50,030,461",Apr 2 2004,Walt Disney Studios Motion Pictures
65,Secret Window,,"$48,022,900","3,018","$48,022,900",Mar 12 2004,Sony Pictures Releasing
66,Walking Tall,,"$46,437,717","2,836","$46,437,717",Apr 2 2004,Metro-Goldwyn-Mayer (MGM)
67,Blade: Trinity,,"$45,688,172","2,912","$52,411,906",Dec 8 2004,New Line Cinema
68,Napoleon Dynamite,,"$44,374,626","1,027","$44,540,956",Jun 11 2004,-
69,Exorcist: The Beginning,,"$41,821,986","2,813","$41,821,986",Aug 20 2004,Warner Bros.
70,You Got Served,,"$40,363,810","1,943","$40,363,810",Jan 30 2004,Screen Gems
71,Catwoman,,"$40,202,379","3,117","$40,202,379",Jul 23 2004,Warner Bros.
72,The Ladykillers,,"$39,799,191","1,589","$39,799,191",Mar 26 2004,Walt Disney Studios Motion Pictures
73,Bridget Jones: The Edge of Reason,,"$39,778,585","2,473","$40,226,215",Nov 12 2004,Universal Pictures
74,Sky Captain and the World of Tomorrow,,"$37,762,677","3,170","$37,762,677",Sep 17 2004,Paramount Pictures
75,Raising Helen,,"$37,486,512","2,721","$37,486,512",May 28 2004,Walt Disney Studios Motion Pictures
76,Mystic River,,"$36,369,586","1,581","$90,135,191",Oct 8 2004,Warner Bros.
77,Taxi,2004 Re-release,"$36,311,572","3,001","$36,611,066",Oct 6 2004,Twentieth Century Fox
78,Eternal Sunshine of the Spotless Mind,,"$34,400,739","1,357","$34,400,301",Mar 19 2004,Focus Features
79,Monster,,"$34,310,570","1,093","$34,469,210",Dec 24 2004,Newmarket Films
80,Alexander,,"$33,963,605","2,445","$34,297,191",Nov 24 2004,Warner Bros.
81,The Punisher,,"$33,812,504","2,649","$33,810,189",Apr 16 2004,Lionsgate Films
82,Team America: World Police,,"$32,736,542","2,620","$32,786,074",Oct 15 2004,Paramount Pictures
83,Taking Lives,,"$32,682,342","2,705","$32,682,342",Mar 19 2004,Warner Bros.
84,Anacondas: The Hunt for the Blood Orchid,,"$32,238,923","2,905","$32,238,923",Aug 27 2004,Screen Gems
85,Cellular,,"$32,005,186","2,763","$32,003,620",Sep 10 2004,New Line Cinema
86,The Last Samurai,,"$31,404,757","2,938","$111,127,263",Dec 5 2004,Warner Bros.
87,Johnson Family Vacation,,"$31,203,964","1,326","$31,203,964",Apr 7 2004,-
88,Open Water,,"$30,612,360","2,709","$30,610,863",Aug 6 2004,Lionsgate Films
89,Calendar Girls,,"$29,976,515",967,"$31,041,759",Dec 19 2004,Walt Disney Studios Motion Pictures
90,Confessions of a Teenage Drama Queen,,"$29,331,068","2,503","$29,331,068",Feb 20 2004,Walt Disney Studios Motion Pictures
91,Paycheck,,"$28,768,374","2,762","$53,790,451",Dec 25 2004,Paramount Pictures
