rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Who Framed Roger Rabbit,,"$156,452,370","1,598","$156,452,370",Jun 24,Walt Disney Studios Motion Pictures
2,Coming to America,,"$128,152,301","2,064","$128,152,301",Jun 29,Paramount Pictures
3,"Good Morning, Vietnam",,"$122,231,991","1,598","$123,922,370",Dec 25,Walt Disney Studios Motion Pictures
4,Big,,"$114,968,774","1,419","$114,968,774",Jun 3,Twentieth Century Fox
5,Crocodile Dundee II,,"$109,306,210","2,837","$109,306,210",May 25,Paramount Pictures
6,Three Men and a Baby,,"$90,528,478","1,813","$167,780,960",Nov 25,Walt Disney Studios Motion Pictures
7,Die Hard,,"$83,008,852","1,713","$83,008,852",Jul 15,Twentieth Century Fox
8,Moonstruck,,"$80,034,239","1,178","$80,640,528",Dec 18,Metro-Goldwyn-Mayer (MGM)
9,Cocktail,,"$78,222,753","1,462","$78,222,753",Jul 29,Walt Disney Studios Motion Pictures
10,Beetlejuice,,"$73,707,461","1,582","$73,707,461",Mar 30,Warner Bros.
11,A Fish Called Wanda,,"$62,493,712","1,223","$62,493,712",Jul 15,Metro-Goldwyn-Mayer (MGM)
12,Willow,,"$57,269,863","1,209","$57,269,863",May 20,Metro-Goldwyn-Mayer (MGM)
13,Rambo III,,"$53,715,611","2,562","$53,715,611",May 25,TriStar Pictures
14,Scrooged,,"$52,747,095","1,897","$60,328,558",Nov 23,Paramount Pictures
15,Bull Durham,,"$50,888,729","1,297","$50,888,729",Jun 17,Orion Pictures
16,Twins,,"$49,668,525","1,659","$111,938,388",Dec 9,Universal Pictures
17,A Nightmare on Elm Street 4: The Dream Master,,"$49,369,899","1,767","$49,369,899",Aug 19,New Line Cinema
18,Colors,,"$46,616,067","1,388","$46,616,067",Apr 15,Orion Pictures
19,Young Guns,,"$45,661,556","1,416","$45,661,556",Aug 12,Twentieth Century Fox
20,Biloxi Blues,,"$43,184,798","1,330","$43,184,798",Mar 25,Universal Pictures
21,The Naked Gun: From the Files of Police Squad!,,"$42,682,610","1,969","$78,756,177",Dec 2,Paramount Pictures
22,The Great Outdoors,,"$41,455,230","1,430","$41,455,230",Jun 17,Universal Pictures
23,Big Business,,"$40,150,487","1,232","$40,150,487",Jun 10,Walt Disney Studios Motion Pictures
24,The Last Emperor,,"$39,542,734",877,"$43,984,230",Nov 20,Columbia Pictures
25,Bambi,1988 Re-release,"$39,047,150","1,489","$39,047,150",Jul 15,Walt Disney Studios Motion Pictures
26,Midnight Run,,"$38,413,606","1,161","$38,413,606",Jul 22,Universal Pictures
27,The Dead Pool,,"$37,903,295","1,831","$37,903,295",Jul 15,Warner Bros.
28,Broadcast News,,"$37,889,244",848,"$51,249,404",Dec 18,Twentieth Century Fox
29,The Land Before Time,,"$35,457,680","1,414","$48,336,291",Nov 18,Universal Pictures
30,Oliver & Company,,"$35,151,553","1,503","$53,279,055",Nov 18,Walt Disney Studios Motion Pictures
31,Red Heat,,"$34,994,649","1,892","$34,994,648",Jun 17,TriStar Pictures
32,Child's Play,,"$33,244,684","1,490","$33,244,684",Nov 11,United Artists
33,Rain Man,,"$33,222,479","1,590","$172,825,435",Dec 16,Metro-Goldwyn-Mayer (MGM)
34,The Accused,,"$32,078,318",930,"$32,078,318",Oct 14,Paramount Pictures
35,Shoot to Kill,,"$29,300,090","1,519","$29,300,090",Feb 12,Walt Disney Studios Motion Pictures
36,Ernest Saves Christmas,,"$27,288,662","1,640","$28,202,109",Nov 11,Walt Disney Studios Motion Pictures
37,Throw Momma from the Train,,"$27,200,714","1,623","$57,915,972",Dec 11,Orion Pictures
38,Fatal Attraction,,"$26,488,417","1,401","$156,645,693",Sep 18,Paramount Pictures
39,Wall Street,,"$25,835,379",989,"$43,848,069",Dec 11,Twentieth Century Fox
40,Betrayed,,"$25,816,139","1,101","$25,816,139",Aug 26,United Artists
41,Tequila Sunrise,,"$25,613,223","1,411","$41,292,551",Dec 2,Warner Bros.
42,Funny Farm,,"$25,537,221","1,557","$25,537,221",Jun 3,Warner Bros.
43,Alien Nation,,"$25,216,243","1,436","$25,216,243",Oct 7,Twentieth Century Fox
44,Gorillas in the Mist,,"$24,720,479","1,085","$24,720,479",Sep 23,Universal Pictures
45,Eddie Murphy: Raw,,"$23,564,936","1,494","$50,504,655",Dec 18,Paramount Pictures
46,The Fox and the Hound,1988 Re-release,"$23,556,988","1,567","$23,556,988",Mar 25,Walt Disney Studios Motion Pictures
47,License to Drive,,"$22,433,275","1,225","$22,433,275",Jul 8,Twentieth Century Fox
48,Short Circuit 2,,"$21,630,088","1,348","$21,630,088",Jul 8,TriStar Pictures
49,Married to the Mob,,"$21,486,757",828,"$21,486,757",Aug 19,Orion Pictures
50,Punchline,,"$21,042,667",917,"$21,042,667",Sep 30,Columbia Pictures
51,The Presidio,,"$20,324,096","1,168","$20,324,096",Jun 10,Paramount Pictures
52,Action Jackson,,"$20,256,975","1,249","$20,256,975",Feb 12,Lorimar Motion Pictures
53,Tucker: The Man and His Dream,,"$19,652,638",720,"$19,652,638",Aug 12,Paramount Pictures
54,The Serpent and the Rainbow,,"$19,595,031","1,431","$19,595,031",Feb 5,Universal Pictures
55,Police Academy 5: Assignment: Miami Beach,,"$19,510,371","1,700","$19,510,371",Mar 18,Warner Bros.
