rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Avatar,,"$466,141,929","3,461","$749,766,139",Dec 18 2010,Twentieth Century Fox
2,Toy Story 3,,"$415,004,880","4,028","$415,004,880",Jun 18 2010,Walt Disney Studios Motion Pictures
3,Alice in Wonderland,,"$334,191,110","3,739","$334,191,110",Mar 5 2010,Walt Disney Studios Motion Pictures
4,Iron Man 2,,"$312,433,331","4,390","$312,433,331",May 7 2010,Paramount Pictures
5,The Twilight Saga: Eclipse,,"$300,531,751","4,468","$300,531,751",Jun 30 2010,Summit Entertainment
6,Inception,,"$292,558,188","3,792","$292,576,195",Jul 16 2010,Warner Bros.
7,Harry Potter and the Deathly Hallows: Part 1,,"$280,230,127","4,125","$295,983,305",Nov 19 2010,Warner Bros.
8,Despicable Me,,"$251,083,040","3,602","$251,639,815",Jul 9 2010,Universal Pictures
9,Shrek Forever After,,"$238,736,787","4,386","$238,736,787",May 21 2010,DreamWorks
10,How to Train Your Dragon,,"$217,581,231","4,060","$217,581,231",Mar 26 2010,DreamWorks
11,The Karate Kid,,"$176,591,618","3,740","$176,591,618",Jun 11 2010,Sony Pictures Releasing
12,Clash of the Titans,,"$163,214,888","3,802","$163,214,888",Apr 2 2010,Warner Bros.
13,Grown Ups,,"$162,001,186","3,534","$162,001,186",Jun 25 2010,Sony Pictures Releasing
14,Tangled,,"$161,284,390","3,603","$200,821,936",Nov 24 2010,Walt Disney Studios Motion Pictures
15,Megamind,,"$143,767,792","3,949","$148,415,853",Nov 5 2010,DreamWorks
16,The Last Airbender,,"$131,772,187","3,203","$131,772,187",Jul 1 2010,Paramount Pictures
17,Shutter Island,,"$128,012,934","3,356","$128,012,934",Feb 19 2010,Paramount Pictures
18,The Other Guys,,"$119,219,978","3,651","$119,219,978",Aug 6 2010,Sony Pictures Releasing
19,Salt,,"$118,311,368","3,612","$118,311,368",Jul 23 2010,Sony Pictures Releasing
20,Tron: Legacy,,"$117,540,071","3,451","$172,062,763",Dec 17 2010,Walt Disney Studios Motion Pictures
21,Jackass 3D,,"$117,052,883","3,139","$117,229,692",Oct 15 2010,Paramount Pictures
22,Valentine's Day,,"$110,485,654","3,665","$110,485,654",Feb 12 2010,Warner Bros.
23,Sherlock Holmes,,"$106,925,723","3,626","$209,028,679",Dec 25 2010,Warner Bros.
24,Robin Hood,,"$105,269,730","3,505","$105,269,730",May 14 2010,Universal Pictures
25,The Expendables,,"$103,068,524","3,398","$103,068,524",Aug 13 2010,Lionsgate Films
26,Due Date,,"$98,935,039","3,365","$100,539,043",Nov 5 2010,Warner Bros.
27,Alvin and the Chipmunks: The Squeakquel,,"$98,887,330","3,747","$219,614,612",Dec 23 2010,Twentieth Century Fox
28,Date Night,,"$98,711,404","3,380","$98,711,404",Apr 9 2010,Twentieth Century Fox
29,Sex and the City 2,,"$95,347,692","3,445","$95,347,692",May 27 2010,Warner Bros.
30,The Book of Eli,,"$94,835,059","3,111","$94,835,059",Jan 15 2010,Warner Bros.
31,The Social Network,,"$92,876,282","2,921","$96,962,694",Oct 1 2010,Sony Pictures Releasing
32,The Town,,"$92,155,037","2,935","$92,186,262",Sep 17 2010,Warner Bros.
33,Prince of Persia: The Sands of Time,,"$90,759,676","3,646","$90,759,676",May 28 2010,Walt Disney Studios Motion Pictures
34,RED,,"$89,296,297","3,349","$90,380,162",Oct 15 2010,Summit Entertainment
35,Percy Jackson & the Olympians: The Lightning Thief,,"$88,768,303","3,396","$88,768,303",Feb 12 2010,Twentieth Century Fox
36,Paranormal Activity 2,,"$84,612,342","3,239","$84,752,907",Oct 22 2010,Paramount Pictures
37,Little Fockers,,"$84,557,425","3,675","$148,438,600",Dec 22 2010,Universal Pictures
38,Eat Pray Love,,"$80,574,010","3,108","$80,574,010",Aug 13 2010,Sony Pictures Releasing
39,The Chronicles of Narnia: The Voyage of the Dawn Treader,,"$80,066,097","3,555","$104,386,950",Dec 10 2010,Twentieth Century Fox
40,Dear John,,"$80,014,842","3,062","$80,014,842",Feb 5 2010,Screen Gems
41,Unstoppable,,"$79,104,757","3,261","$81,562,942",Nov 12 2010,Twentieth Century Fox
42,The A-Team,,"$77,222,099","3,544","$77,222,099",Jun 11 2010,Twentieth Century Fox
43,Knight and Day,2010 Re-release,"$76,423,035","3,104","$76,423,035",Jun 23 2010,Twentieth Century Fox
44,Dinner for Schmucks,,"$73,026,337","3,046","$73,026,337",Jul 30 2010,DreamWorks
45,It's Complicated,,"$72,359,500","2,955","$112,735,375",Dec 25 2010,Universal Pictures
46,True Grit,,"$70,420,123","3,464","$171,243,005",Dec 22 2010,Paramount Pictures
47,The Bounty Hunter,,"$67,061,228","3,118","$67,061,228",Mar 19 2010,Sony Pictures Releasing
48,Diary of a Wimpy Kid,,"$64,003,625","3,083","$64,003,625",Mar 19 2010,Twentieth Century Fox
49,The Sorcerer's Apprentice,,"$63,150,991","3,504","$63,150,991",Jul 14 2010,Walt Disney Studios Motion Pictures
50,A Nightmare on Elm Street,,"$63,075,011","3,332","$63,075,011",Apr 30 2010,Warner Bros.
51,The Last Song,,"$62,950,384","2,794","$62,950,384",Mar 31 2010,Walt Disney Studios Motion Pictures
52,The Wolfman,,"$61,979,680","3,223","$61,979,680",Feb 12 2010,Universal Pictures
53,Get Him to the Greek,,"$60,974,475","2,702","$60,974,475",Jun 4 2010,Universal Pictures
54,Resident Evil: Afterlife,,"$60,128,566","3,209","$60,128,566",Sep 10 2010,Screen Gems
55,Why Did I Get Married Too?,,"$60,095,852","2,155","$60,095,852",Apr 2 2010,Lionsgate Films
56,Tooth Fairy,,"$60,022,256","3,345","$60,022,256",Jan 22 2010,Twentieth Century Fox
57,The Blind Side,,"$59,396,157","3,407","$255,959,475",Nov 20 2010,Warner Bros.
58,Secretariat,,"$58,876,848","3,108","$59,713,955",Oct 8 2010,Walt Disney Studios Motion Pictures
59,Easy A,,"$58,401,464","2,974","$58,401,464",Sep 17 2010,Screen Gems
60,Takers,,"$57,744,720","2,206","$57,744,720",Aug 27 2010,Screen Gems
61,Yogi Bear,,"$57,418,550","3,515","$100,246,011",Dec 17 2010,Warner Bros.
62,Legend of the Guardians: The Owls of Ga'Hoole,,"$55,486,413","3,575","$55,675,313",Sep 24 2010,Warner Bros.
63,Letters to Juliet,,"$53,032,453","2,975","$53,032,453",May 14 2010,Summit Entertainment
64,Life as We Know It,,"$52,727,343","3,150","$53,374,681",Oct 8 2010,Warner Bros.
65,Wall Street: Money Never Sleeps,,"$52,474,616","3,597","$52,474,616",Sep 24 2010,Twentieth Century Fox
66,Predators,,"$52,000,688","2,669","$52,000,688",Jul 9 2010,Twentieth Century Fox
67,Hot Tub Time Machine,,"$50,287,556","2,771","$50,287,556",Mar 26 2010,Metro-Goldwyn-Mayer (MGM)
68,Up in the Air,,"$50,168,168","2,218","$83,823,381",Dec 4 2010,Paramount Pictures
69,The Tourist,,"$49,966,965","2,756","$67,631,157",Dec 10 2010,Sony Pictures Releasing
70,Kick-Ass,,"$48,071,303","3,065","$48,071,303",Apr 16 2010,Lionsgate Films
71,Killers,,"$47,059,963","2,859","$47,059,963",Jun 4 2010,Lionsgate Films
72,Saw 3D,,"$45,710,178","2,808","$45,710,178",Oct 29 2010,Lionsgate Films
73,Cop Out,,"$44,875,481","3,150","$44,875,481",Feb 26 2010,Warner Bros.
74,The Lovely Bones,,"$43,795,809","2,638","$44,114,232",Dec 11 2010,DreamWorks
75,Cats & Dogs: The Revenge of Kitty Galore,,"$43,585,753","3,705","$43,585,753",Jul 30 2010,Warner Bros.
76,Edge of Darkness,,"$43,313,890","3,066","$43,313,890",Jan 29 2010,Warner Bros.
77,Death at a Funeral,,"$42,739,347","2,459","$42,739,347",Apr 16 2010,Screen Gems
78,Step Up 3D,,"$42,400,223","2,439","$42,400,223",Aug 6 2010,Walt Disney Studios Motion Pictures
79,The Last Exorcism,,"$41,034,350","2,874","$41,034,350",Aug 27 2010,Lionsgate Films
80,Black Swan,,"$40,866,343","2,407","$106,954,678",Dec 3 2010,-
81,Legion,,"$40,168,080","2,476","$40,168,080",Jan 22 2010,Screen Gems
82,The Crazies,,"$39,123,589","2,479","$39,123,589",Feb 26 2010,Overture Films
83,The Fighter,,"$39,041,794","2,534","$93,617,009",Dec 10 2010,Paramount Pictures
84,Crazy Heart,,"$38,983,106","1,361","$39,464,306",Dec 16 2010,-
85,For Colored Girls,,"$37,669,584","2,127","$37,729,698",Nov 5 2010,Lionsgate Films
86,The Back-up Plan,,"$37,490,007","3,280","$37,490,007",Apr 23 2010,CBS Films
87,Burlesque,,"$37,403,047","3,037","$39,440,655",Nov 24 2010,Screen Gems
88,Vampires Suck,,"$36,661,504","3,233","$36,661,504",Aug 18 2010,Twentieth Century Fox
89,The American,,"$35,606,376","2,833","$35,606,376",Sep 1 2010,Focus Features
90,Green Zone,,"$35,053,660","3,004","$35,053,660",Mar 12 2010,Universal Pictures
91,Marmaduke,,"$33,644,788","3,213","$33,644,788",Jun 4 2010,Twentieth Century Fox
92,Devil,,"$33,601,190","2,811","$33,601,190",Sep 17 2010,Universal Pictures
93,Hereafter,,"$32,684,455","2,424","$32,746,941",Oct 15 2010,Warner Bros.
94,When in Rome,,"$32,680,633","2,456","$32,680,633",Jan 29 2010,Walt Disney Studios Motion Pictures
95,She's Out of My League,,"$32,010,860","2,958","$32,010,860",Mar 12 2010,Paramount Pictures
96,Scott Pilgrim vs. the World,,"$31,524,275","2,820","$31,524,275",Aug 13 2010,Universal Pictures
97,Charlie St. Cloud,,"$31,162,545","2,725","$31,162,545",Jul 30 2010,Universal Pictures
98,Love & Other Drugs,,"$31,099,481","2,458","$32,367,005",Nov 24 2010,Twentieth Century Fox
99,Morning Glory,,"$30,727,814","2,544","$31,011,732",Nov 10 2010,Paramount Pictures
100,Daybreakers,,"$30,101,577","2,523","$30,101,577",Jan 8 2010,Lionsgate Films
101,Nanny McPhee Returns,,"$29,011,215","2,798","$29,011,215",Aug 20 2010,Universal Pictures
102,The Princess and the Frog,,"$28,365,871","3,475","$104,400,899",Nov 25 2010,Walt Disney Studios Motion Pictures
103,The Switch,,"$27,779,426","2,017","$27,779,426",Aug 20 2010,Miramax
104,Brooklyn's Finest,,"$27,163,593","1,939","$27,163,593",Mar 5 2010,Overture Films
105,Machete,,"$26,593,646","2,678","$26,593,646",Sep 3 2010,Twentieth Century Fox
106,Ramona and Beezus,,"$26,167,002","2,719","$26,167,002",Jul 23 2010,Twentieth Century Fox
107,Leap Year,,"$25,918,920","2,512","$25,918,920",Jan 8 2010,Universal Pictures
108,You Again,,"$25,702,053","2,548","$25,702,053",Sep 24 2010,Walt Disney Studios Motion Pictures
109,Alpha and Omega,,"$25,107,267","2,625","$25,107,267",Sep 17 2010,Lionsgate Films
110,Piranha 3D,,"$25,003,155","2,491","$25,003,155",Aug 20 2010,-
111,Lottery Ticket,,"$24,719,879","1,974","$24,719,879",Aug 20 2010,Warner Bros.
112,The Spy Next Door,,"$24,307,086","2,924","$24,307,086",Jan 15 2010,Lionsgate Films
113,From Paris with Love,,"$24,077,427","2,722","$24,077,427",Feb 5 2010,Lionsgate Films
114,The Losers,,"$23,591,432","2,936","$23,591,432",Apr 23 2010,Warner Bros.
115,Faster,,"$22,799,866","2,470","$23,240,020",Nov 24 2010,CBS Films
116,How Do You Know,,"$21,808,891","2,483","$30,212,620",Dec 17 2010,Sony Pictures Releasing
117,Just Wright,,"$21,540,363","1,831","$21,540,363",May 14 2010,-
118,Skyline,,"$21,394,120","2,883","$21,393,620",Nov 12 2010,Universal Pictures
119,Gulliver's Travels,,"$21,121,717","3,089","$42,779,261",Dec 25 2010,Twentieth Century Fox
120,The Next Three Days,,"$21,102,239","2,564","$21,148,651",Nov 19 2010,Lionsgate Films
121,The Kids Are All Right,,"$20,811,365",994,"$20,811,365",Jul 9 2010,Focus Features
122,Our Family Wedding,,"$20,255,281","1,609","$20,255,281",Mar 12 2010,-
123,Hubble,,"$20,069,368",151,"$52,522,904",Mar 19 2010,Warner Bros.
124,Oceans,,"$19,422,319","1,232","$19,422,319",Apr 22 2010,Walt Disney Studios Motion Pictures
125,Remember Me,,"$19,068,240","2,215","$19,068,240",Mar 12 2010,Summit Entertainment
126,Going the Distance,,"$17,804,299","3,030","$17,804,299",Sep 3 2010,Warner Bros.
127,The King's Speech,,"$17,674,034","2,584","$135,453,143",Nov 26 2010,The Weinstein Company
128,Furry Vengeance,,"$17,630,465","3,002","$17,630,465",Apr 30 2010,Summit Entertainment
129,Splice,2010 Re-release,"$17,010,170","2,450","$17,010,170",Jun 4 2010,Warner Bros.
130,The Ghost Writer,,"$15,541,549",819,"$15,541,549",Feb 19 2010,Summit Entertainment
131,Youth in Revolt,,"$15,281,286","1,873","$15,281,286",Jan 8 2010,-
132,My Soul to Take,,"$14,744,435","2,572","$14,744,435",Oct 8 2010,Universal Pictures
133,Repo Men,,"$13,794,835","2,521","$13,794,835",Mar 19 2010,Universal Pictures
134,Case 39,,"$13,261,851","2,212","$13,261,851",Oct 1 2010,Paramount Vantage
135,Let Me In,,"$12,134,935","2,042","$12,134,935",Oct 1 2010,Overture Films
136,The Twilight Saga: New Moon,,"$12,111,242","4,124","$296,623,634",Nov 20 2010,Summit Entertainment
137,Extraordinary Measures,,"$12,068,313","2,549","$12,068,313",Jan 22 2010,CBS Films
138,Invictus,,"$10,814,231","2,170","$37,491,364",Dec 11 2010,Warner Bros.
139,Avatar,2010 Special Edition,"$10,741,486",812,"$10,741,486",Aug 27 2010,Twentieth Century Fox
140,Jonah Hex,,"$10,547,117","2,825","$10,547,117",Jun 18 2010,Warner Bros.
141,127 Hours,,"$10,203,228",916,"$18,335,230",Nov 5 2010,-
142,The Girl with the Dragon Tattoo,,"$10,092,799",202,"$10,095,170",Mar 19 2010,Music Box Films
143,Nine,,"$9,832,212","1,412","$19,676,965",Dec 18 2010,The Weinstein Company
144,Did You Hear About the Morgans?,,"$9,200,041","2,718","$29,580,087",Dec 18 2010,Sony Pictures Releasing
145,Get Low,,"$9,110,406",570,"$9,176,933",Jul 30 2010,Sony Pictures Classics
146,Fair Game,,"$9,048,389",436,"$9,540,691",Nov 5 2010,Summit Entertainment
147,The Young Victoria,,"$9,031,882",476,"$11,001,272",Dec 18 2010,Apparition
148,MacGruber,,"$8,525,600","2,551","$8,525,600",May 21 2010,Universal Pictures
149,A Single Man,,"$7,931,309",354,"$9,176,000",Dec 11 2010,The Weinstein Company
150,The Girl Who Played with Fire,,"$7,635,737",185,"$7,638,241",Jul 9 2010,Music Box Films
151,Cyrus,,"$7,468,936",454,"$7,468,936",Jun 18 2010,-
152,Babies,,"$7,320,323",543,"$7,320,323",May 7 2010,Focus Features
153,The Imaginarium of Doctor Parnassus,,"$7,028,622",607,"$7,689,607",Dec 25 2010,Sony Pictures Classics
154,Conviction,2010 Re-release,"$6,783,129",672,"$6,783,129",Oct 15 2010,-
155,City Island,,"$6,671,036",269,"$6,671,036",Mar 19 2010,Anchor Bay Films
156,The Last Station,,"$6,617,867",354,"$6,617,867",Jan 15 2010,Sony Pictures Classics
