rank,title,re_release,gross,num_theaters,total_gross,date,distributor
157,Waiting for Superman,,"$6,417,135",330,"$6,417,135",Sep 24 2010,Paramount Vantage
158,The Secret in Their Eyes,,"$6,391,436",166,"$6,391,436",Apr 16 2010,Sony Pictures Classics
159,It's Kind of a Funny Story,,"$6,363,628",757,"$6,363,628",Oct 8 2010,Focus Features
160,Winter's Bone,,"$6,243,745",141,"$6,531,503",Jun 11 2010,Roadside Attractions
161,Under the Sea 3D,,"$5,894,782",108,"$36,262,926",Feb 13 2010,Warner Bros.
162,The Warrior's Way,,"$5,559,395","1,622","$5,666,340",Dec 3 2010,Relativity Media
163,I Am Love,,"$5,005,465",166,"$5,005,465",Jun 18 2010,Magnolia Pictures
164,Precious,,"$4,998,535","1,003","$47,566,524",Nov 6 2010,Lionsgate Films
165,The Girl Who Kicked the Hornet's Nest,,"$4,990,497",208,"$5,190,196",Oct 29 2010,Music Box Films
166,An Education,,"$4,963,224",763,"$12,574,914",Oct 9 2010,Sony Pictures Classics
167,Mao's Last Dancer,,"$4,817,770",137,"$4,817,770",Aug 20 2010,The Samuel Goldwyn Company
168,Solitary Man,,"$4,360,548",177,"$4,360,548",May 21 2010,Anchor Bay Films
169,Greenberg,,"$4,234,170",186,"$4,234,170",Mar 19 2010,Focus Features
170,Please Give,,"$4,033,574",272,"$4,033,574",Apr 30 2010,Sony Pictures Classics
171,My Name Is Khan,,"$4,018,771",125,"$4,018,771",Feb 12 2010,-
172,To Save a Life,,"$3,777,210",441,"$3,777,210",Jan 22 2010,The Samuel Goldwyn Company
173,2012,,"$3,763,166","3,444","$166,112,167",Nov 13 2010,Sony Pictures Releasing
174,The Runaways,,"$3,573,673",244,"$3,573,673",Mar 19 2010,Apparition
175,Broken Embraces,,"$3,431,551",202,"$5,014,305",Nov 20 2010,Sony Pictures Classics
176,Inside Job,,"$3,409,430",250,"$4,312,735",Oct 8 2010,Sony Pictures Classics
177,Lebanon,,"$3,368,088",23,"$368,088",Aug 6 2010,Sony Pictures Classics
178,Exit Through the Gift Shop,,"$3,291,250",46,"$3,291,250",Apr 16 2010,-
179,3 Idiots,,"$3,268,210",156,"$6,532,874",Dec 23 2010,Reliance Big Pictures
180,Catfish,,"$3,237,343",143,"$3,237,343",Sep 17 2010,Rogue Pictures
181,You Will Meet a Tall Dark Stranger,,"$3,225,989",402,"$3,248,246",Sep 22 2010,Sony Pictures Classics
182,Chloe,,"$3,075,255",350,"$3,075,255",Mar 26 2010,Sony Pictures Classics
183,Old Dogs,,"$2,963,487","3,425","$49,492,060",Nov 25 2010,Walt Disney Studios Motion Pictures
184,Joan Rivers: A Piece of Work,,"$2,930,687",115,"$2,930,687",Jun 11 2010,IFC Films
185,Letters to God,,"$2,848,578",897,"$2,848,578",Apr 9 2010,Vivendi Entertainment
186,Planet 51,,"$2,783,781","3,035","$42,194,060",Nov 20 2010,Sony Pictures Releasing
187,The Hurt Locker,,"$2,705,895",535,"$17,017,811",Jun 26 2010,Summit Entertainment
188,N-Secure,,"$2,595,644",486,"$2,595,644",Oct 15 2010,Freestyle Releasing
189,Magnificent Desolation: Walking on the Moon,,"$2,512,796",82,"$34,137,524",Sep 23 2010,IMAX
190,Never Let Me Go,,"$2,434,652",232,"$2,434,652",Sep 15 2010,-
191,Twilight/New Moon,Double Bill,"$2,385,237","2,037","$2,385,237",Jun 29 2010,Summit Entertainment
192,Fantastic Mr. Fox,,"$2,358,363","2,304","$21,002,919",Nov 13 2010,Twentieth Century Fox
193,Brothers,,"$2,321,378","2,088","$28,544,157",Dec 4 2010,Lionsgate Films
194,The White Ribbon,,"$2,222,862",106,"$2,222,862",Dec 30 2010,Sony Pictures Classics
195,A Prophet,,"$2,087,720",83,"$2,087,720",Feb 26 2010,Sony Pictures Classics
196,Tamara Drewe,,"$1,907,257",59,"$560,391",Oct 8 2010,Sony Pictures Classics
197,Harry Brown,,"$1,818,681",67,"$1,818,681",Apr 30 2010,The Samuel Goldwyn Company
198,Stone,,"$1,810,078",125,"$1,810,078",Oct 8 2010,Overture Films
199,The Road,,"$1,798,592",396,"$8,117,000",Nov 25 2010,-
200,Flipped,,"$1,755,212",442,"$1,755,212",Aug 6 2010,Warner Bros.
