rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Avengers: Endgame,,"$858,373,000","4,662","$858,373,000",Apr 26,Walt Disney Studios Motion Pictures
2,The Lion King,,"$543,638,043","4,802","$543,638,043",Jul 19,Walt Disney Studios Motion Pictures
3,Toy Story 4,,"$434,038,008","4,575","$434,038,008",Jun 21,Walt Disney Studios Motion Pictures
4,Frozen II,,"$430,144,682","4,440","$477,373,578",Nov 22,Walt Disney Studios Motion Pictures
5,Captain Marvel,,"$426,829,839","4,310","$426,829,839",Mar 8,Walt Disney Studios Motion Pictures
6,Star Wars: Episode IX - The Rise of Skywalker,,"$390,706,234","4,406","$515,202,542",Dec 20,Walt Disney Studios Motion Pictures
7,Spider-Man: Far from Home,,"$390,532,085","4,634","$390,532,085",Jul 2,Sony Pictures Releasing
8,Aladdin,,"$355,559,216","4,476","$355,559,216",May 24,Walt Disney Studios Motion Pictures
9,Joker,,"$333,772,511","4,374","$335,451,311",Oct 4,Warner Bros.
10,It Chapter Two,,"$211,593,228","4,570","$211,593,228",Sep 6,Warner Bros.
11,Jumanji: The Next Level,,"$192,094,536","4,227","$320,314,960",Dec 13,Sony Pictures Releasing
12,Us,,"$175,084,580","3,743","$175,084,580",Mar 22,Universal Pictures
13,Fast & Furious Presents: Hobbs & Shaw,,"$173,956,935","4,344","$173,956,935",Aug 2,Universal Pictures
14,John Wick: Chapter 3 - Parabellum,,"$171,015,687","3,850","$171,015,687",May 17,Lionsgate Films
15,How to Train Your Dragon: The Hidden World,,"$160,799,505","4,286","$160,799,505",Feb 22,Universal Pictures
16,The Secret Life of Pets 2,,"$157,949,395","4,564","$158,980,250",Jun 7,Universal Pictures
17,Pokémon: Detective Pikachu,,"$144,105,346","4,248","$144,105,346",May 10,Warner Bros.
18,Once Upon a Time... in Hollywood,,"$141,076,968","3,659","$142,502,728",Jul 26,Sony Pictures Releasing
19,Shazam!,,"$140,371,656","4,306","$140,371,656",Apr 5,Warner Bros.
20,Aquaman,,"$136,001,983","4,184","$335,061,807",Dec 21,Warner Bros.
21,Knives Out,,"$115,711,579","3,461","$165,363,234",Nov 27,Lionsgate Films
22,Dumbo,,"$114,766,307","4,259","$114,766,307",Mar 29,Walt Disney Studios Motion Pictures
23,Maleficent: Mistress of Evil,,"$113,294,737","3,820","$113,929,605",Oct 18,Walt Disney Studios Motion Pictures
24,Glass,,"$111,048,468","3,844","$111,048,468",Jan 18,Universal Pictures
25,Godzilla: King of the Monsters,,"$110,500,138","4,108","$110,500,138",May 31,Warner Bros.
26,The Upside,,"$108,252,517","3,568","$108,252,517",Jan 11,STX Entertainment
27,Ford v Ferrari,,"$107,196,444","3,746","$117,624,357",Nov 15,Twentieth Century Fox
28,The Lego Movie 2: The Second Part,,"$105,806,508","4,303","$105,806,508",Feb 8,Warner Bros.
29,Hustlers,,"$104,960,643","3,525","$104,963,598",Sep 13,STX Entertainment
30,The Addams Family,,"$97,185,807","4,107","$100,044,905",Oct 11,United Artists Releasing
31,Downton Abbey,,"$96,853,865","3,548","$96,853,865",Sep 20,Focus Features
32,Rocketman,,"$96,368,160","3,610","$96,368,160",May 31,Paramount Pictures
33,Alita: Battle Angel,,"$85,710,210","3,802","$85,838,210",Feb 14,Twentieth Century Fox
34,Good Boys,,"$83,140,306","3,458","$83,140,306",Aug 16,Universal Pictures
35,Spider-Man: Into the Spider-Verse,,"$82,094,865","3,813","$190,241,310",Dec 14,Sony Pictures Releasing
36,Men in Black: International,,"$80,001,807","4,224","$80,001,807",Jun 14,Sony Pictures Releasing
37,Annabelle Comes Home,,"$74,152,591","3,613","$74,152,591",Jun 26,Warner Bros.
38,Yesterday,,"$73,286,650","2,755","$73,286,650",Jun 28,Universal Pictures
39,A Madea Family Funeral,,"$73,257,045","2,442","$73,257,045",Mar 1,Lionsgate Films
40,Zombieland: Double Tap,,"$72,930,156","3,468","$73,123,082",Oct 18,Sony Pictures Releasing
41,Angel Has Fallen,,"$69,030,436","3,336","$69,030,436",Aug 23,Lionsgate Films
42,Scary Stories to Tell in the Dark,,"$68,947,075","3,135","$68,947,075",Aug 9,Lionsgate Films
43,Mary Poppins Returns,,"$66,027,977","4,090","$171,958,438",Dec 19,Walt Disney Studios Motion Pictures
44,X-Men: Dark Phoenix,,"$65,845,974","3,721","$65,845,974",Jun 7,Twentieth Century Fox
45,Terminator: Dark Fate,,"$62,253,077","4,086","$62,253,077",Nov 1,Paramount Pictures
46,Abominable,,"$60,679,265","4,248","$60,716,390",Sep 27,Universal Pictures
47,Dora and the Lost City of Gold,,"$60,477,943","3,735","$60,477,943",Aug 9,Paramount Pictures
48,Escape Room,,"$57,005,601","2,717","$57,005,601",Jan 4,Sony Pictures Releasing
49,A Beautiful Day in the Neighborhood,,"$56,706,993","3,491","$61,704,055",Nov 22,Sony Pictures Releasing
50,Midway,,"$56,279,164","3,242","$56,846,802",Nov 8,Lionsgate Films
51,Bumblebee,,"$55,769,470","3,597","$127,195,589",Dec 21,Paramount Pictures
52,The Curse of La Llorona,,"$54,733,739","3,372","$54,733,739",Apr 19,Warner Bros.
53,Pet Sematary,,"$54,724,696","3,585","$54,724,696",Apr 5,Paramount Pictures
54,What Men Want,,"$54,611,903","2,912","$54,611,903",Feb 8,Paramount Pictures
55,Green Book,,"$52,927,165","2,648","$85,080,171",Nov 16,Universal Pictures
56,Ad Astra,,"$50,188,370","3,460","$50,188,370",Sep 20,Twentieth Century Fox
57,Isn't It Romantic,,"$48,791,187","3,444","$48,791,187",Feb 13,Warner Bros.
58,Gemini Man,,"$48,546,770","3,642","$48,546,770",Oct 11,Paramount Pictures
59,Ma,,"$45,896,028","2,816","$45,896,028",May 31,Universal Pictures
60,Five Feet Apart,,"$45,729,221","2,866","$45,729,221",Mar 15,Lionsgate Films
61,Wonder Park,,"$45,216,793","3,838","$45,216,793",Mar 15,Paramount Pictures
62,Rambo: Last Blood,,"$44,819,352","3,618","$44,819,352",Sep 20,Lionsgate Films
63,Playing with Fire,,"$44,151,387","3,185","$44,451,847",Nov 8,Paramount Pictures
64,Harriet,,"$42,547,700","2,186","$43,082,155",Nov 1,Focus Features
65,A Dog's Way Home,,"$42,004,346","3,090","$42,004,346",Jan 11,Sony Pictures Releasing
66,The Angry Birds Movie 2,,"$41,667,116","3,869","$41,667,116",Aug 13,Sony Pictures Releasing
67,Little,,"$40,860,481","2,667","$40,860,481",Apr 12,Universal Pictures
68,Queen & Slim,,"$40,718,945","1,715","$43,808,310",Nov 27,Universal Pictures
69,Breakthrough,,"$40,713,082","2,913","$40,713,082",Apr 17,Twentieth Century Fox
70,The Mule,,"$39,084,073","3,329","$103,804,407",Dec 14,Warner Bros.
