rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Spider-Man: No Way Home,,"$572,984,769","4,336","$804,793,477",Dec 17 2021,Sony Pictures Releasing
2,Shang-Chi and the Legend of the Ten Rings,,"$224,543,292","4,300","$224,543,292",Sep 3 2021,Walt Disney Studios Motion Pictures
3,Venom: Let There Be Carnage,,"$212,609,036","4,225","$213,550,366",Oct 1 2021,Sony Pictures Releasing
4,Black Widow,,"$183,651,655","4,275","$183,651,655",Jul 9 2021,Walt Disney Studios Motion Pictures
5,F9: The Fast Saga,,"$173,005,945","4,203","$173,005,945",Jun 25 2021,Universal Pictures
6,Eternals,,"$164,616,321","4,090","$164,870,234",Nov 5 2021,Walt Disney Studios Motion Pictures
7,No Time to Die,,"$160,772,007","4,407","$160,891,007",Oct 8 2021,Metro-Goldwyn-Mayer (MGM)
8,A Quiet Place Part II,,"$160,072,261","3,744","$160,072,261",May 28 2021,Paramount Pictures
9,Ghostbusters: Afterlife,,"$122,378,960","4,315","$129,360,575",Nov 19 2021,Sony Pictures Releasing
10,Free Guy,,"$121,626,598","4,165","$121,626,598",Aug 13 2021,20th Century Studios
11,Jungle Cruise,,"$116,987,516","4,310","$116,987,516",Jul 30 2021,Walt Disney Studios Motion Pictures
12,Godzilla vs. Kong,,"$99,597,705","3,084","$100,916,094",Mar 31 2021,Warner Bros.
13,Dune,,"$93,404,911","4,125","$108,327,830",Oct 22 2021,Warner Bros.
14,Halloween Kills,,"$92,002,155","3,727","$92,002,155",Oct 15 2021,Universal Pictures
15,Encanto,,"$90,628,329","3,980","$96,093,622",Nov 24 2021,Walt Disney Studios Motion Pictures
16,Cruella,,"$86,103,234","3,922","$86,103,234",May 28 2021,Walt Disney Studios Motion Pictures
17,Sing 2,,"$74,883,155","3,892","$162,790,990",Dec 22 2021,Universal Pictures
18,Space Jam: A New Legacy,,"$67,559,184","4,002","$70,592,228",Jul 16 2021,Warner Bros.
19,The Conjuring: The Devil Made Me Do It,,"$65,579,078","3,280","$65,631,050",Jun 4 2021,Warner Bros.
20,Candyman,,"$61,186,570","3,569","$61,186,570",Aug 27 2021,Universal Pictures
21,The Boss Baby 2: Family Business,,"$57,300,280","3,688","$57,300,280",Jul 2 2021,Universal Pictures
22,The Addams Family 2,,"$56,489,153","4,207","$56,489,153",Oct 1 2021,United Artists Releasing
23,The Suicide Squad,,"$55,812,663","4,019","$55,817,425",Aug 6 2021,Warner Bros.
24,Raya and the Last Dragon,,"$54,723,032","2,375","$54,723,032",Mar 5 2021,Walt Disney Studios Motion Pictures
25,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,,"$49,505,008","2,087","$49,505,008",Apr 23 2021,FUNimation Entertainment
