rank,title,re_release,gross,num_theaters,total_gross,date,distributor
65,Red Tails,,"$49,876,377","2,573","$49,876,377",Jan 20 2012,Twentieth Century Fox
66,The Possession,,"$49,130,154","2,860","$49,130,154",Aug 31 2012,Lionsgate Films
67,Diary of a Wimpy Kid: Dog Days,,"$49,008,662","3,401","$49,008,662",Aug 3 2012,Twentieth Century Fox
68,Sinister,,"$48,061,556","2,542","$48,086,903",Oct 12 2012,Lionsgate Films
69,Beauty and the Beast,2012 3D Release,"$47,617,067","2,625","$47,617,067",Jan 13 2012,Walt Disney Studios Motion Pictures
70,Jack Reacher,,"$47,550,642","3,352","$80,070,736",Dec 21 2012,Paramount Pictures
71,Savages,,"$47,382,068","2,635","$47,382,068",Jul 6 2012,Universal Pictures
72,The Best Exotic Marigold Hotel,,"$46,412,041","1,298","$46,412,041",May 4 2012,-
73,Moonrise Kingdom,,"$45,512,466",924,"$45,512,466",May 25 2012,Focus Features
74,Alvin and the Chipmunks: Chipwrecked,,"$44,959,546","3,734","$133,110,742",Dec 16 2012,Twentieth Century Fox
75,The Three Stooges,,"$44,338,224","3,482","$44,338,224",Apr 13 2012,Twentieth Century Fox
76,The Descendants,,"$44,209,129","2,038","$82,584,160",Nov 16 2012,-
77,Here Comes the Boom,,"$43,599,656","3,014","$45,290,318",Oct 12 2012,Sony Pictures Releasing
78,War Horse,,"$43,532,682","2,856","$79,884,879",Dec 25 2012,Walt Disney Studios Motion Pictures
79,Red Dawn,,"$43,468,052","2,781","$44,806,783",Nov 21 2012,FilmDistrict
80,Star Wars: Episode I - The Phantom Menace,2012 3D Release,"$43,456,382","2,655","$43,456,382",Feb 10 2012,Twentieth Century Fox
81,Resident Evil: Retribution,,"$42,345,531","3,016","$42,345,531",Sep 14 2012,Screen Gems
82,The Cabin in the Woods,,"$42,073,277","2,811","$42,073,277",Apr 13 2012,Lionsgate Films
83,What to Expect When You're Expecting,,"$41,152,203","3,021","$41,152,203",May 18 2012,Lionsgate Films
84,Finding Nemo,2012 3D Release,"$41,040,308","2,904","$41,128,283",Sep 14 2012,Walt Disney Studios Motion Pictures
85,End of Watch,,"$40,766,734","2,780","$41,003,371",Sep 21 2012,Open Road Films (II)
86,The Artist,,"$40,075,103","1,756","$44,671,682",Nov 25 2012,The Weinstein Company
87,This Is 40,,"$38,951,960","2,931","$67,544,505",Dec 21 2012,Universal Pictures
88,We Bought a Zoo,,"$38,785,097","3,170","$75,624,550",Dec 23 2012,Twentieth Century Fox
89,Rock of Ages,,"$38,518,613","3,470","$38,518,613",Jun 15 2012,Warner Bros.
90,Abraham Lincoln: Vampire Hunter,,"$37,519,139","3,109","$37,519,139",Jun 22 2012,Twentieth Century Fox
91,Lawless,,"$37,400,127","3,138","$37,400,127",Aug 29 2012,The Weinstein Company
92,That's My Boy,,"$36,931,089","3,030","$36,931,089",Jun 15 2012,Sony Pictures Releasing
93,Trouble with the Curve,,"$35,763,137","3,212","$35,763,137",Sep 21 2012,Warner Bros.
94,The Watch,,"$35,353,000","3,168","$35,353,000",Jul 27 2012,Twentieth Century Fox
95,Step Up Revolution,,"$35,074,677","2,606","$35,074,677",Jul 27 2012,Lionsgate Films
96,Good Deeds,,"$35,025,791","2,132","$35,025,791",Feb 24 2012,Lionsgate Films
97,Frankenweenie,,"$34,713,382","3,005","$35,291,068",Oct 5 2012,Walt Disney Studios Motion Pictures
98,Parental Guidance,,"$33,993,350","3,368","$77,267,296",Dec 25 2012,Twentieth Century Fox
99,The Adventures of Tintin,,"$33,739,804","3,087","$77,591,831",Dec 21 2012,Paramount Pictures
