rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Barbie,,"$636,225,983","4,337","$636,238,421",Jul 21 2023,Warner Bros.
2,The Super Mario Bros. Movie,,"$574,934,330","4,371","$574,934,330",Apr 5 2023,Universal Pictures
3,Spider-Man: Across the Spider-Verse,,"$381,311,319","4,332","$381,311,319",Jun 2 2023,Columbia Pictures
4,Guardians of the Galaxy Vol. 3,,"$358,995,815","4,450","$358,995,815",May 5 2023,Walt Disney Studios Motion Pictures
5,Oppenheimer,,"$326,101,370","3,761","$329,862,540",Jul 21 2023,Universal Pictures
6,The Little Mermaid,,"$298,172,056","4,320","$298,172,056",May 26 2023,Walt Disney Studios Motion Pictures
7,Avatar: The Way of Water,,"$283,067,859","4,340","$684,075,767",Dec 16 2023,20th Century Studios
8,Ant-Man and the Wasp: Quantumania,,"$214,504,909","4,345","$214,504,909",Feb 17 2023,Walt Disney Studios Motion Pictures
9,John Wick: Chapter 4,,"$187,131,806","3,855","$187,131,806",Mar 24 2023,Lionsgate Films
10,Sound of Freedom,,"$184,177,725","3,411","$184,178,046",Jul 4 2023,Angel Studios
11,Taylor Swift: The Eras Tour,,"$179,817,571","3,855","$180,756,269",Oct 13 2023,-
12,Indiana Jones and the Dial of Destiny,,"$174,480,468","4,600","$174,480,468",Jun 30 2023,Walt Disney Studios Motion Pictures
13,Mission: Impossible - Dead Reckoning Part One,,"$172,135,383","4,327","$172,135,383",Jul 12 2023,Paramount Pictures
14,The Hunger Games: The Ballad of Songbirds & Snakes,,"$159,719,625","3,776","$166,350,594",Nov 17 2023,Lionsgate Films
15,Transformers: Rise of the Beasts,,"$157,066,392","3,680","$157,066,392",Jun 9 2023,Paramount Pictures
16,Creed III,,"$156,248,615","4,007","$156,248,615",Mar 3 2023,United Artists Releasing
17,Elemental,,"$154,426,697","4,035","$154,426,697",Jun 16 2023,Walt Disney Studios Motion Pictures
18,Fast X,,"$146,126,015","4,088","$146,126,015",May 19 2023,Universal Pictures
19,Five Nights at Freddy's,,"$137,275,620","3,789","$137,275,620",Oct 27 2023,Universal Pictures International (UPI)
20,Wonka,,"$133,129,902","4,213","$218,402,312",Dec 15 2023,Warner Bros.
21,Puss in Boots: The Last Wish,,"$130,425,380","4,121","$186,090,535",Dec 21 2023,Universal Pictures
22,Teenage Mutant Ninja Turtles: Mutant Mayhem,,"$118,613,586","3,950","$118,613,586",Aug 2 2023,Paramount Pictures
23,Scream VI,,"$108,161,389","3,676","$108,161,389",Mar 10 2023,Paramount Pictures
24,The Flash,,"$108,133,313","4,256","$108,133,313",Jun 16 2023,Warner Bros.
25,Trolls Band Together,,"$96,370,205","3,893","$102,996,915",Nov 17 2023,Universal Pictures
26,M3GAN,,"$95,159,005","3,628","$95,159,005",Jan 6 2023,Universal Pictures
27,Dungeons & Dragons: Honor Among Thieves,,"$93,277,026","3,856","$93,277,026",Mar 31 2023,Paramount Pictures
28,The Equalizer 3,,"$92,373,751","3,965","$92,373,751",Sep 1 2023,Columbia Pictures
29,The Nun II,,"$86,267,073","3,743","$86,267,073",Sep 8 2023,Warner Bros.
30,The Marvels,,"$84,479,155","4,030","$84,500,223",Nov 10 2023,Walt Disney Studios Motion Pictures
31,Meg 2: The Trench,,"$82,600,317","3,604","$82,600,317",Aug 4 2023,Warner Bros.
32,Insidious: The Red Door,,"$82,156,962","3,188","$82,156,962",Jul 7 2023,Screen Gems
33,Aquaman and the Lost Kingdom,,"$76,469,713","3,787","$124,481,226",Dec 22 2023,Warner Bros.
34,Blue Beetle,,"$72,488,072","3,871","$72,488,072",Aug 18 2023,Warner Bros.
35,Haunted Mansion,,"$67,653,287","3,740","$67,653,287",Jul 28 2023,Walt Disney Studios Motion Pictures
36,Killers of the Flower Moon,,"$67,292,161","3,786","$68,026,901",Oct 20 2023,Paramount Pictures
37,Evil Dead Rise,,"$67,233,054","3,417","$67,233,054",Apr 21 2023,Warner Bros.
38,The Exorcist: Believer,,"$65,537,395","3,684","$65,537,395",Oct 6 2023,Universal Pictures
