rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Top Gun: Maverick,,"$718,318,561","4,751","$718,732,821",May 27 2022,Paramount Pictures
2,Black Panther: Wakanda Forever,,"$436,499,646","4,396","$453,829,060",Nov 11 2022,Walt Disney Studios Motion Pictures
3,Doctor Strange in the Multiverse of Madness,,"$411,331,607","4,534","$411,331,607",May 6 2022,Walt Disney Studios Motion Pictures
4,Avatar: The Way of Water,,"$401,007,908","4,340","$684,075,767",Dec 16 2022,20th Century Studios
5,Jurassic World Dominion,,"$376,851,080","4,697","$376,851,080",Jun 10 2022,Universal Pictures
6,Minions: The Rise of Gru,,"$369,695,210","4,427","$370,270,765",Jul 1 2022,Universal Pictures
7,The Batman,,"$369,345,583","4,417","$369,345,583",Mar 4 2022,Warner Bros.
8,Thor: Love and Thunder,,"$343,256,830","4,375","$343,256,830",Jul 8 2022,Walt Disney Studios Motion Pictures
9,Spider-Man: No Way Home,,"$231,808,708","4,336","$804,793,477",Dec 17 2022,Sony Pictures Releasing
10,Sonic the Hedgehog 2,,"$190,872,904","4,258","$190,872,904",Apr 8 2022,Paramount Pictures
11,Black Adam,,"$168,054,237","4,402","$168,152,111",Oct 21 2022,Warner Bros.
12,Elvis,,"$151,040,048","3,932","$151,040,048",Jun 24 2022,Warner Bros.
13,Uncharted,,"$148,649,929","4,275","$148,648,820",Feb 18 2022,Sony Pictures Releasing
14,Nope,,"$123,277,080","3,807","$123,277,080",Jul 22 2022,Universal Pictures
15,Lightyear,,"$118,307,188","4,255","$118,307,188",Jun 17 2022,Walt Disney Studios Motion Pictures
16,Smile,,"$105,935,048","3,659","$105,935,048",Sep 30 2022,Paramount Pictures
17,The Lost City,,"$105,344,029","4,283","$105,344,029",Mar 25 2022,Paramount Pictures
18,Bullet Train,,"$103,368,602","4,357","$103,368,602",Aug 5 2022,Sony Pictures Releasing
19,The Bad Guys,,"$97,233,630","4,042","$97,459,240",Apr 22 2022,Universal Pictures
20,Fantastic Beasts: The Secrets of Dumbledore,,"$95,850,844","4,245","$95,850,844",Apr 15 2022,Warner Bros.
21,DC League of Super-Pets,,"$93,657,117","4,332","$93,657,117",Jul 29 2022,Warner Bros.
22,Where the Crawdads Sing,,"$90,230,760","3,650","$90,230,760",Jul 15 2022,Sony Pictures Releasing
23,The Black Phone,,"$90,123,230","3,156","$90,123,230",Jun 24 2022,Universal Pictures
24,Sing 2,,"$86,307,835","3,892","$162,790,990",Dec 22 2022,Universal Pictures
25,Scream,,"$81,641,405","3,666","$81,641,405",Jan 14 2022,Paramount Pictures
26,Morbius,,"$73,865,530","4,268","$73,865,530",Apr 1 2022,Columbia Pictures
27,Everything Everywhere All at Once,,"$68,649,964","2,220","$77,191,785",Mar 25 2022,A24
