date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31 1984,New Year's Eve 1984,Monday,366,"$95,418",-37.8%,+209%,1,Ghostbusters,"$95,418"
Dec 30 1984,,Sunday,365,"$153,338",-7.8%,+25.7%,1,Ghostbusters,"$153,338"
Dec 29 1984,,Saturday,364,"$166,252",+25.8%,+56.6%,1,Ghostbusters,"$166,252"
Dec 28 1984,,Friday,363,"$132,183",+26%,+113%,1,Ghostbusters,"$132,183"
Dec 27 1984,,Thursday,362,"$104,889",+16.8%,+392.7%,1,Ghostbusters,"$104,889"
Dec 26 1984,,Wednesday,361,"$89,807",+87.4%,+270.9%,1,Ghostbusters,"$89,807"
Dec 25 1984,Christmas Day 1984,Tuesday,360,"$47,915",+55.2%,+82.2%,1,Ghostbusters,"$47,915"
Dec 24 1984,,Monday,359,"$30,881",-74.7%,+70.7%,1,Ghostbusters,"$30,881"
Dec 23 1984,,Sunday,358,"$121,952",+14.8%,+66.8%,1,Ghostbusters,"$121,952"
Dec 22 1984,,Saturday,357,"$106,195",+71.1%,-3.9%,1,Ghostbusters,"$106,195"
Dec 21 1984,,Friday,356,"$62,049",+191.5%,+8.6%,1,Ghostbusters,"$62,049"
Dec 20 1984,,Thursday,355,"$21,288",-12.1%,-6.3%,1,Ghostbusters,"$21,288"
Dec 19 1984,,Wednesday,354,"$24,213",-7.9%,+4.9%,1,Ghostbusters,"$24,213"
Dec 18 1984,,Tuesday,353,"$26,293",+45.4%,-17.6%,1,Ghostbusters,"$26,293"
Dec 17 1984,,Monday,352,"$18,089",-75.3%,-25.2%,1,Ghostbusters,"$18,089"
Dec 16 1984,,Sunday,351,"$73,124",-33.8%,-25.8%,1,Ghostbusters,"$73,124"
Dec 15 1984,,Saturday,350,"$110,509",+93.4%,-36.3%,1,Ghostbusters,"$110,509"
Dec 14 1984,,Friday,349,"$57,143",+151.5%,-35.5%,1,Ghostbusters,"$57,143"
Dec 13 1984,,Thursday,348,"$22,720",-1.5%,-24.6%,1,Ghostbusters,"$22,720"
Dec 12 1984,,Wednesday,347,"$23,077",-27.7%,-23.8%,1,Ghostbusters,"$23,077"
Dec 11 1984,,Tuesday,346,"$31,913",+32%,-36%,1,Ghostbusters,"$31,913"
Dec 10 1984,,Monday,345,"$24,168",-75.5%,-39.3%,1,Ghostbusters,"$24,168"
Dec 9 1984,,Sunday,344,"$98,590",-43.2%,-44.6%,1,Ghostbusters,"$98,590"
Dec 8 1984,,Saturday,343,"$173,490",+95.9%,-47.7%,1,Ghostbusters,"$173,490"
Dec 7 1984,,Friday,342,"$88,548",+194.1%,-47.8%,1,Ghostbusters,"$88,548"
Dec 6 1984,,Thursday,341,"$30,113",-0.6%,-3.4%,1,Ghostbusters,"$30,113"
Dec 5 1984,,Wednesday,340,"$30,301",-39.2%,-13.5%,1,Ghostbusters,"$30,301"
Dec 4 1984,,Tuesday,339,"$49,869",+25.3%,-5.2%,1,Ghostbusters,"$49,869"
Dec 3 1984,,Monday,338,"$39,794",-77.6%,-9.2%,1,Ghostbusters,"$39,794"
Dec 2 1984,,Sunday,337,"$177,864",-46.4%,-8.9%,1,Ghostbusters,"$177,864"
Dec 1 1984,,Saturday,336,"$332,012",+95.7%,-22.4%,1,Ghostbusters,"$332,012"
Nov 30 1984,,Friday,335,"$169,678",+444%,-54%,1,Ghostbusters,"$169,678"
Nov 29 1984,,Thursday,334,"$31,188",-10.9%,-77.9%,1,Ghostbusters,"$31,188"
Nov 28 1984,,Wednesday,333,"$35,020",-33.4%,-66%,1,Ghostbusters,"$35,020"
Nov 27 1984,,Tuesday,332,"$52,617",+20.1%,-13%,1,Ghostbusters,"$52,617"
Nov 26 1984,,Monday,331,"$43,828",-77.5%,-7.2%,1,Ghostbusters,"$43,828"
Nov 25 1984,,Sunday,330,"$195,208",-54.3%,-3.6%,1,Ghostbusters,"$195,208"
Nov 24 1984,,Saturday,329,"$427,593",+16%,+23.3%,1,Ghostbusters,"$427,593"
Nov 23 1984,,Friday,328,"$368,724",+161.7%,+103.7%,1,Ghostbusters,"$368,724"
