date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31 2016,New Year's Eve 2016,Saturday,366,"$48,726,595",-20.1%,+37.4%,50,Rogue One: A Star Wars Story,"$14,632,828"
Dec 30 2016,,Friday,365,"$60,985,934",+14.3%,+9.5%,51,Rogue One: A Star Wars Story,"$18,224,317"
Dec 29 2016,,Thursday,364,"$53,356,579",-4.5%,+35.3%,52,Rogue One: A Star Wars Story,"$16,722,532"
Dec 28 2016,,Wednesday,363,"$55,873,826",-16.1%,+36.7%,52,Rogue One: A Star Wars Story,"$18,021,482"
Dec 27 2016,,Tuesday,362,"$66,574,257",-22.2%,+146.5%,50,Rogue One: A Star Wars Story,"$22,515,612"
Dec 26 2016,,Monday,361,"$85,591,349",+12.9%,+234.8%,64,Rogue One: A Star Wars Story,"$32,085,637"
Dec 25 2016,Christmas Day 2016,Sunday,360,"$75,833,566",-20.9%,-8.2%,49,Rogue One: A Star Wars Story,"$25,865,004"
Dec 24 2016,,Saturday,359,"$35,458,836",-36.3%,-46%,47,Rogue One: A Star Wars Story,"$15,308,508"
Dec 23 2016,,Friday,358,"$55,697,825",+41.2%,-34.5%,47,Rogue One: A Star Wars Story,"$22,860,256"
Dec 22 2016,,Thursday,357,"$39,444,486",-3.5%,+634%,51,Rogue One: A Star Wars Story,"$16,773,075"
Dec 21 2016,,Wednesday,356,"$40,884,496",+51.4%,+574.8%,52,Rogue One: A Star Wars Story,"$14,965,790"
Dec 20 2016,,Tuesday,355,"$27,004,546",+5.6%,+225.7%,45,Rogue One: A Star Wars Story,"$17,582,978"
Dec 19 2016,,Monday,354,"$25,568,518",-51.7%,+335.6%,47,Rogue One: A Star Wars Story,"$17,596,150"
Dec 18 2016,,Sunday,353,"$52,891,489",-19.5%,+181.2%,48,Rogue One: A Star Wars Story,"$37,679,172"
