date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31,New Year's Eve,Wednesday,366,"$30,475,474",-10%,+4.5%,48,Marley & Me,"$6,883,821"
Dec 30,,Tuesday,365,"$34,586,529",-2.4%,+121.1%,47,Marley & Me,"$7,314,695"
Dec 29,,Monday,364,"$35,437,355",-23%,+122.2%,48,Marley & Me,"$7,506,989"
Dec 28,,Sunday,363,"$46,008,305",-23.9%,+105.6%,47,Marley & Me,"$9,686,659"
Dec 27,,Saturday,362,"$60,458,374",-4.8%,+100.6%,47,Marley & Me,"$12,717,753"
Dec 26,,Friday,361,"$63,530,336",-4.9%,+155.1%,47,Marley & Me,"$13,953,174"
Dec 25,Christmas Day,Thursday,360,"$66,821,137",+566.8%,+950.2%,52,Marley & Me,"$14,380,980"
Dec 24,,Wednesday,359,"$10,021,113",-35.9%,+64.3%,47,Yes Man,"$1,935,364"
Dec 23,,Tuesday,358,"$15,640,357",-1.9%,+142.1%,44,Yes Man,"$3,403,394"
Dec 22,,Monday,357,"$15,948,088",-28.7%,+150.9%,44,Yes Man,"$3,610,321"
Dec 21,,Sunday,356,"$22,377,388",-25.8%,+15.5%,46,Yes Man,"$5,121,271"
Dec 20,,Saturday,355,"$30,139,698",+21%,-9.8%,46,Yes Man,"$6,646,123"
Dec 19,,Friday,354,"$24,907,681",+291.5%,-3.2%,46,Yes Man,"$6,495,077"
Dec 18,,Thursday,353,"$6,362,779",+4.3%,+18.9%,50,The Day the Earth Stood Still,"$1,775,857"
Dec 17,,Wednesday,352,"$6,100,723",-5.6%,+13.9%,52,The Day the Earth Stood Still,"$1,805,033"
Dec 16,,Tuesday,351,"$6,459,444",+1.6%,+16.6%,50,The Day the Earth Stood Still,"$2,078,861"
Dec 15,,Monday,350,"$6,356,315",-67.2%,+16.7%,50,The Day the Earth Stood Still,"$2,336,980"
Dec 14,,Sunday,349,"$19,379,224",-42%,+2%,53,The Day the Earth Stood Still,"$6,944,791"
Dec 13,,Saturday,348,"$33,423,264",+29.9%,+8.9%,53,The Day the Earth Stood Still,"$11,920,581"
Dec 12,,Friday,347,"$25,725,655",+380.9%,+8.4%,53,The Day the Earth Stood Still,"$11,614,781"
Dec 11,,Thursday,346,"$5,349,657",-0.1%,-20.6%,53,Four Christmases,"$1,352,298"
Dec 10,,Wednesday,345,"$5,356,374",-3.3%,-20%,53,Four Christmases,"$1,336,195"
Dec 9,,Tuesday,344,"$5,537,462",+1.6%,-27.7%,52,Four Christmases,"$1,366,464"
Dec 8,,Monday,343,"$5,447,579",-71.3%,-28.3%,52,Four Christmases,"$1,228,377"
Dec 7,,Sunday,342,"$18,995,683",-38.1%,-37.5%,53,Four Christmases,"$4,033,960"
Dec 6,,Saturday,341,"$30,703,777",+29.3%,-48.1%,53,Four Christmases,"$6,969,302"
Dec 5,,Friday,340,"$23,741,028",+252.5%,-62.1%,53,Four Christmases,"$5,752,216"
Dec 4,,Thursday,339,"$6,734,660",+0.5%,-79.5%,50,Four Christmases,"$1,589,207"
Dec 3,,Wednesday,338,"$6,698,640",-12.5%,-79.8%,49,Four Christmases,"$1,558,323"
Dec 2,,Tuesday,337,"$7,657,604",+0.7%,-50.8%,50,Four Christmases,"$1,802,459"
Dec 1,,Monday,336,"$7,601,694",-75%,-34.4%,49,Four Christmases,"$1,658,235"
Nov 30,,Sunday,335,"$30,414,700",-48.6%,-13.6%,51,Four Christmases,"$5,782,092"
Nov 29,,Saturday,334,"$59,188,816",-5.5%,-0.2%,51,Four Christmases,"$12,194,271"
Nov 28,,Friday,333,"$62,637,611",+90.8%,+3.9%,51,Four Christmases,"$13,093,463"
Nov 27,Thanksgiving,Thursday,332,"$32,832,926",-1.2%,+425.4%,51,Four Christmases,"$8,902,878"
Nov 26,,Wednesday,331,"$33,235,833",+113.7%,+409.3%,51,Twilight,"$7,964,881"
Nov 25,,Tuesday,330,"$15,554,189",+34.2%,+104.7%,49,Twilight,"$6,012,635"
Nov 24,,Monday,329,"$11,587,676",-67.1%,+55.8%,50,Twilight,"$4,515,245"
Nov 23,,Sunday,328,"$35,204,239",-40.6%,+8.7%,51,Twilight,"$12,372,363"
Nov 22,,Saturday,327,"$59,315,069",-1.6%,+3.1%,52,Twilight,"$21,287,029"
Nov 21,,Friday,326,"$60,298,564",+865%,+33.8%,52,Twilight,"$35,978,348"
Nov 20,,Thursday,325,"$6,248,787",-4.2%,+13.2%,51,Quantum of Solace,"$3,047,678"
Nov 19,,Wednesday,324,"$6,526,023",-14.1%,+17.3%,51,Quantum of Solace,"$3,322,821"
Nov 18,,Tuesday,323,"$7,600,262",+2.2%,-58.6%,50,Quantum of Solace,"$4,052,368"
Nov 17,,Monday,322,"$7,436,177",-77%,-35.6%,50,Quantum of Solace,"$4,131,092"
Nov 16,,Sunday,321,"$32,398,969",-43.7%,-1.6%,55,Quantum of Solace,"$14,690,029"
Nov 15,,Saturday,320,"$57,543,301",+27.7%,+7.5%,55,Quantum of Solace,"$25,831,827"
Nov 14,,Friday,319,"$45,057,229",+715.9%,+21.4%,55,Quantum of Solace,"$27,007,026"
Nov 13,,Thursday,318,"$5,522,495",-0.7%,+8.5%,54,Madagascar: Escape 2 Africa,"$1,941,207"
