date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31,New Year's Eve,Tuesday,365,"$35,875,563",-6.8%,+61%,47,Frozen,"$7,076,451"
Dec 30,,Monday,364,"$38,492,098",-19.4%,+16.6%,47,Frozen,"$7,898,402"
Dec 29,,Sunday,363,"$47,772,637",-22.4%,+11.9%,48,The Hobbit: The Desolation of Smaug,"$8,441,089"
Dec 28,,Saturday,362,"$61,538,651",+4.9%,+19.4%,48,The Hobbit: The Desolation of Smaug,"$10,585,522"
Dec 27,,Friday,361,"$58,639,116",+0.4%,+44.4%,48,Frozen,"$10,167,906"
Dec 26,,Thursday,360,"$58,404,212",-13.1%,+271.6%,46,The Hobbit: The Desolation of Smaug,"$10,523,771"
Dec 25,Christmas Day,Wednesday,359,"$67,174,241",-1.3%,+35.9%,45,The Hobbit: The Desolation of Smaug,"$9,306,295"
Dec 24,,Tuesday,358,"$22,279,461",-32.5%,+77%,39,The Hobbit: The Desolation of Smaug,"$5,265,696"
Dec 23,,Monday,357,"$33,006,551",-22.7%,+185.1%,40,The Hobbit: The Desolation of Smaug,"$7,823,089"
Dec 22,,Sunday,356,"$42,676,295",-17.2%,+16.4%,41,The Hobbit: The Desolation of Smaug,"$10,608,659"
Dec 21,,Saturday,355,"$51,540,431",+26.9%,-0.5%,41,The Hobbit: The Desolation of Smaug,"$12,270,560"
Dec 20,,Friday,354,"$40,621,066",+158.5%,-18.6%,41,Anchorman 2: The Legend Continues,"$8,737,314"
Dec 19,,Thursday,353,"$15,715,002",-12.3%,+168.9%,42,Anchorman 2: The Legend Continues,"$5,120,471"
Dec 18,,Wednesday,352,"$17,915,553",+42.3%,+198.8%,41,Anchorman 2: The Legend Continues,"$8,103,172"
Dec 17,,Tuesday,351,"$12,589,275",+8.8%,+59.7%,40,The Hobbit: The Desolation of Smaug,"$6,295,431"
Dec 16,,Monday,350,"$11,575,285",-68.4%,+80.3%,40,The Hobbit: The Desolation of Smaug,"$6,202,204"
Dec 15,,Sunday,349,"$36,671,035",-29.2%,+61%,42,The Hobbit: The Desolation of Smaug,"$18,024,194"
Dec 14,,Saturday,348,"$51,779,026",+3.7%,+33.7%,42,The Hobbit: The Desolation of Smaug,"$24,430,416"
Dec 13,,Friday,347,"$49,918,942",+754.2%,+122.6%,42,The Hobbit: The Desolation of Smaug,"$31,190,587"
Dec 12,,Thursday,346,"$5,843,906",-2.5%,-22.3%,42,The Hunger Games: Catching Fire,"$1,809,345"
Dec 11,,Wednesday,345,"$5,995,406",-24%,-21%,41,The Hunger Games: Catching Fire,"$1,855,493"
Dec 10,,Tuesday,344,"$7,884,914",+22.8%,-21.8%,41,Frozen,"$2,463,619"
Dec 9,,Monday,343,"$6,419,315",-71.8%,-26.2%,40,Frozen,"$2,051,152"
Dec 8,,Sunday,342,"$22,778,460",-41.2%,-41.6%,43,Frozen,"$9,829,173"
Dec 7,,Saturday,341,"$38,741,592",+72.8%,-46.9%,43,Frozen,"$15,063,237"
Dec 6,,Friday,340,"$22,421,404",+198.2%,-71.1%,43,The Hunger Games: Catching Fire,"$7,775,778"
Dec 5,,Thursday,339,"$7,520,010",-0.9%,-78.4%,50,The Hunger Games: Catching Fire,"$2,938,977"
Dec 4,,Wednesday,338,"$7,590,457",-24.7%,-83%,50,The Hunger Games: Catching Fire,"$3,017,817"
Dec 3,,Tuesday,337,"$10,081,780",+15.9%,-56.4%,51,The Hunger Games: Catching Fire,"$4,009,955"
Dec 2,,Monday,336,"$8,700,287",-77.7%,-51%,48,The Hunger Games: Catching Fire,"$3,402,550"
Dec 1,,Sunday,335,"$39,032,275",-46.5%,-20.4%,49,Frozen,"$15,207,908"
Nov 30,,Saturday,334,"$72,937,879",-5.9%,-6.5%,50,The Hunger Games: Catching Fire,"$28,401,259"
Nov 29,,Friday,333,"$77,522,018",+122.6%,-11.4%,49,The Hunger Games: Catching Fire,"$31,570,448"
Nov 28,Thanksgiving,Thursday,332,"$34,829,569",-6.3%,+16.6%,46,The Hunger Games: Catching Fire,"$14,951,629"
Nov 27,,Wednesday,331,"$44,675,957",+93.4%,+525.3%,47,The Hunger Games: Catching Fire,"$20,808,110"
Nov 26,,Tuesday,330,"$23,099,357",+30.1%,+147.5%,45,The Hunger Games: Catching Fire,"$15,960,309"
Nov 25,,Monday,329,"$17,748,824",-63.8%,+123.1%,45,The Hunger Games: Catching Fire,"$12,321,722"
Nov 24,,Sunday,328,"$49,023,630",-37.2%,+71.7%,51,The Hunger Games: Catching Fire,"$34,505,044"
Nov 23,,Saturday,327,"$78,036,129",-10.9%,+51.1%,51,The Hunger Games: Catching Fire,"$52,619,106"
Nov 22,,Friday,326,"$87,533,820","+1,369.9%",+150.7%,51,The Hunger Games: Catching Fire,"$70,950,136"
Nov 21,,Thursday,325,"$5,954,995",-16.7%,-27.6%,47,Thor: The Dark World,"$1,679,992"
Nov 20,,Wednesday,324,"$7,144,793",-23.4%,-13.1%,49,Thor: The Dark World,"$2,004,268"
Nov 19,,Tuesday,323,"$9,331,338",+17.3%,-14.1%,48,Thor: The Dark World,"$2,729,808"
Nov 18,,Monday,322,"$7,955,766",-72.1%,-64.2%,47,The Best Man Holiday,"$2,428,795"
Nov 17,,Sunday,321,"$28,550,094",-44.7%,-32.8%,51,Thor: The Dark World,"$9,300,119"
Nov 16,,Saturday,320,"$51,642,886",+47.9%,-18.8%,53,Thor: The Dark World,"$16,761,427"
Nov 15,,Friday,319,"$34,919,804",+324.5%,-32.6%,53,The Best Man Holiday,"$10,686,720"
Nov 14,,Thursday,318,"$8,226,234",<0.1%,+13.9%,49,Thor: The Dark World,"$3,546,237"
Nov 13,,Wednesday,317,"$8,219,377",-24.4%,+10.1%,48,Thor: The Dark World,"$3,565,731"
Nov 12,,Tuesday,316,"$10,868,597",-51.1%,+2.1%,48,Thor: The Dark World,"$5,244,111"
Nov 11,,Monday,315,"$22,246,538",-47.6%,+172%,48,Thor: The Dark World,"$10,417,194"
Nov 10,,Sunday,314,"$42,477,755",-33.2%,+43.6%,53,Thor: The Dark World,"$21,760,621"
Nov 9,,Saturday,313,"$63,621,798",+22.7%,+24.2%,53,Thor: The Dark World,"$32,078,010"
Nov 8,,Friday,312,"$51,830,868",+617.9%,+47.3%,53,Thor: The Dark World,"$31,899,210"
Nov 7,,Thursday,311,"$7,220,243",-3.3%,-0.5%,45,Last Vegas,"$1,396,793"
Nov 6,,Wednesday,310,"$7,467,796",-29.9%,+17.1%,45,Ender's Game,"$1,503,661"
Nov 5,,Tuesday,309,"$10,647,828",+30.2%,+22.7%,45,Ender's Game,"$2,112,732"
Nov 4,,Monday,308,"$8,178,162",-72.4%,+9%,45,Ender's Game,"$1,867,868"
Nov 3,,Sunday,307,"$29,588,606",-42.2%,+26.4%,51,Ender's Game,"$6,441,563"
Nov 2,,Saturday,306,"$51,212,103",+45.5%,+34.2%,51,Ender's Game,"$10,750,306"
Nov 1,,Friday,305,"$35,186,390",+385%,+11%,51,Ender's Game,"$9,825,482"
Oct 31,Halloween,Thursday,304,"$7,254,552",-4.9%,-14.2%,45,Jackass Presents: Bad Grandpa,"$1,776,627"
Oct 30,,Wednesday,303,"$6,376,212",-26.5%,-1.3%,46,Jackass Presents: Bad Grandpa,"$2,021,657"
Oct 29,,Tuesday,302,"$8,676,994",+15.7%,+1.8%,45,Jackass Presents: Bad Grandpa,"$2,900,230"
Oct 28,,Monday,301,"$7,502,083",-68%,+9%,45,Jackass Presents: Bad Grandpa,"$2,804,645"
Oct 27,,Sunday,300,"$23,413,852",-38.7%,+7%,51,Jackass Presents: Bad Grandpa,"$7,980,462"
Oct 26,,Saturday,299,"$38,167,552",+20.4%,-3.8%,51,Jackass Presents: Bad Grandpa,"$11,514,488"
Oct 25,,Friday,298,"$31,707,075",+402.3%,+8.4%,51,Jackass Presents: Bad Grandpa,"$12,560,227"
Oct 24,,Thursday,297,"$6,312,070",-2.3%,-22.2%,48,Gravity,"$2,277,175"
Oct 23,,Wednesday,296,"$6,459,297",-24.2%,-20.2%,48,Gravity,"$2,317,300"
Oct 22,,Tuesday,295,"$8,526,156",+23.8%,-11.8%,48,Gravity,"$2,951,072"
Oct 21,,Monday,294,"$6,885,483",-68.5%,-56.4%,50,Gravity,"$2,405,523"
Oct 20,,Sunday,293,"$21,877,396",-44.8%,-23.6%,56,Gravity,"$7,401,895"
Oct 19,,Saturday,292,"$39,662,989",+35.5%,-9.2%,55,Gravity,"$13,609,193"
Oct 18,,Friday,291,"$29,261,910",+260.5%,-6.1%,55,Gravity,"$9,016,073"
Oct 17,,Thursday,290,"$8,116,179",+0.2%,-9%,47,Gravity,"$3,522,487"
Oct 16,,Wednesday,289,"$8,097,449",-16.2%,-9%,47,Gravity,"$3,488,266"
Oct 15,,Tuesday,288,"$9,661,958",-38.8%,-13.2%,47,Gravity,"$4,001,126"
Oct 14,Indig. Peoples' Day,Monday,287,"$15,775,036",-10.2%,+31%,47,Gravity,"$6,201,076"
Oct 13,,Sunday,286,"$28,648,526",-34.4%,-5.5%,54,Gravity,"$12,125,859"
Oct 12,,Saturday,285,"$43,661,765",+40.1%,-8.9%,54,Gravity,"$18,461,329"
Oct 11,,Friday,284,"$31,159,506",+249.4%,-6.5%,53,Gravity,"$12,601,068"
Oct 10,,Thursday,283,"$8,917,509",+0.2%,+77.9%,51,Gravity,"$5,346,180"
Oct 9,,Wednesday,282,"$8,900,497",-20%,+66.4%,52,Gravity,"$5,338,032"
Oct 8,,Tuesday,281,"$11,131,693",+13.2%,+61.3%,51,Gravity,"$6,638,467"
Oct 7,,Monday,280,"$9,835,789",-67.6%,+74.7%,52,Gravity,"$6,027,128"
Oct 6,,Sunday,279,"$30,324,587",-36.7%,+31.7%,60,Gravity,"$15,298,941"
Oct 5,,Saturday,278,"$47,919,003",+43.8%,+19.4%,61,Gravity,"$23,001,353"
Oct 4,,Friday,277,"$33,313,684",+564.4%,+16.8%,60,Gravity,"$17,484,818"
Oct 3,,Thursday,276,"$5,013,913",-6.3%,+12.4%,53,Cloudy with a Chance of Meatballs 2,"$1,081,191"
Oct 2,,Wednesday,275,"$5,349,299",-22.5%,+11.2%,54,Cloudy with a Chance of Meatballs 2,"$1,078,722"
Oct 1,,Tuesday,274,"$6,900,213",+22.6%,+12.6%,51,Cloudy with a Chance of Meatballs 2,"$1,532,085"
Sep 30,,Monday,273,"$5,629,524",-75.6%,+15.7%,52,Cloudy with a Chance of Meatballs 2,"$1,346,798"
Sep 29,,Sunday,272,"$23,026,214",-42.6%,+35%,59,Cloudy with a Chance of Meatballs 2,"$9,693,422"
Sep 28,,Saturday,271,"$40,129,503",+40.7%,+27.9%,60,Cloudy with a Chance of Meatballs 2,"$15,078,511"
Sep 27,,Friday,270,"$28,525,716",+539.3%,+33.4%,60,Cloudy with a Chance of Meatballs 2,"$9,245,997"
Sep 26,,Thursday,269,"$4,462,070",-7.3%,-3.1%,57,Prisoners,"$1,428,155"
Sep 25,,Wednesday,268,"$4,812,199",-21.4%,+1.8%,57,Prisoners,"$1,603,054"
Sep 24,,Tuesday,267,"$6,125,757",+25.8%,-4.1%,55,Prisoners,"$2,177,311"
Sep 23,,Monday,266,"$4,867,507",-71.5%,-12.4%,55,Prisoners,"$1,658,359"
Sep 22,,Sunday,265,"$17,055,971",-45.7%,-11.7%,59,Prisoners,"$4,847,216"
Sep 21,,Saturday,264,"$31,387,375",+46.8%,-1.8%,59,Prisoners,"$8,995,489"
Sep 20,,Friday,263,"$21,387,860",+364.4%,-39.4%,59,Prisoners,"$6,974,348"
Sep 19,,Thursday,262,"$4,605,836",-2.5%,+17.1%,54,Insidious: Chapter 2,"$1,200,236"
Sep 18,,Wednesday,261,"$4,725,998",-26%,+7.9%,54,Insidious: Chapter 2,"$1,241,855"
Sep 17,,Tuesday,260,"$6,386,191",+14.9%,+17.3%,53,Insidious: Chapter 2,"$1,868,998"
Sep 16,,Monday,259,"$5,558,016",-71.2%,+26.2%,53,Insidious: Chapter 2,"$1,772,068"
Sep 15,,Sunday,258,"$19,311,400",-39.6%,+17.7%,57,Insidious: Chapter 2,"$6,643,342"
Sep 14,,Saturday,257,"$31,954,671",-9.4%,+19.6%,58,Insidious: Chapter 2,"$13,397,398"
Sep 13,,Friday,256,"$35,265,297",+796.7%,+90.6%,58,Insidious: Chapter 2,"$20,231,363"
Sep 12,,Thursday,255,"$3,932,856",-10.2%,-19.6%,57,Riddick,"$1,009,775"
Sep 11,,Wednesday,254,"$4,380,678",-19.5%,-9.9%,57,Riddick,"$1,181,365"
Sep 10,,Tuesday,253,"$5,444,456",+23.6%,-14.6%,57,Riddick,"$1,646,710"
Sep 9,,Monday,252,"$4,404,040",-73.2%,-82.6%,57,Riddick,"$1,398,150"
Sep 8,,Sunday,251,"$16,403,956",-38.6%,-44.2%,60,Riddick,"$4,505,150"
Sep 7,,Saturday,250,"$26,727,696",+44.5%,-9.3%,60,Riddick,"$7,208,240"
Sep 6,,Friday,249,"$18,502,652",+278.1%,-29.5%,59,Riddick,"$7,316,985"
Sep 5,,Thursday,248,"$4,893,465",+0.6%,-35.5%,54,The Butler,"$1,129,967"
Sep 4,,Wednesday,247,"$4,863,619",-23.7%,-38.5%,52,The Butler,"$1,056,643"
Sep 3,,Tuesday,246,"$6,372,443",-74.8%,-38%,54,The Butler,"$1,348,389"
Sep 2,Labor Day,Monday,245,"$25,294,910",+14.8%,+37.8%,56,The Butler,"$5,322,986"
Sep 1,,Sunday,244,"$29,378,179",-0.3%,+30.7%,56,The Butler,"$5,696,673"
Aug 31,,Saturday,243,"$29,479,246",+12.4%,-13.5%,56,The Butler,"$5,561,003"
Aug 30,,Friday,242,"$26,235,255",+245.6%,-2.2%,56,One Direction: This Is Us,"$8,868,530"
Aug 29,,Thursday,241,"$7,591,314",-4%,-38.7%,49,The Butler,"$1,716,010"
Aug 28,,Wednesday,240,"$7,907,283",-23.1%,-40.4%,49,The Butler,"$1,761,420"
Aug 27,,Tuesday,239,"$10,279,658",+15.5%,-30.4%,46,The Butler,"$2,181,547"
Aug 26,,Monday,238,"$8,901,308",-60.4%,-29.9%,46,The Butler,"$1,845,504"
Aug 25,,Sunday,237,"$22,480,489",-34.1%,-31.8%,50,The Butler,"$4,721,104"
