date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31,New Year's Eve,Friday,365,"$27,601,787",+846.9%,-17.4%,25,Spider-Man: No Way Home,"$15,407,695"
Dec 30,,Thursday,364,"$35,021,475",+2.7%,-22.2%,26,Spider-Man: No Way Home,"$20,717,908"
Dec 29,,Wednesday,363,"$34,092,399",-5.6%,-27.8%,25,Spider-Man: No Way Home,"$20,327,774"
Dec 28,,Tuesday,362,"$36,104,760",-7.9%,+1.4%,25,Spider-Man: No Way Home,"$21,346,817"
Dec 27,,Monday,361,"$39,209,841",-25.9%,-4.1%,24,Spider-Man: No Way Home,"$24,770,593"
Dec 26,,Sunday,360,"$52,943,454",-6.3%,-25%,27,Spider-Man: No Way Home,"$33,283,250"
Dec 25,Christmas Day,Saturday,359,"$56,478,703",+460.6%,-20.2%,26,Spider-Man: No Way Home,"$31,609,749"
Dec 24,,Friday,358,"$31,087,749",-30.9%,-75.7%,24,Spider-Man: No Way Home,"$19,655,506"
Dec 23,,Thursday,357,"$45,018,844",-4.7%,"+1,609.3%",28,Spider-Man: No Way Home,"$29,333,622"
Dec 22,,Wednesday,356,"$47,249,638",+32.7%,"+1,217.3%",30,Spider-Man: No Way Home,"$27,846,311"
Dec 21,,Tuesday,355,"$35,610,501",-12.9%,+694.4%,27,Spider-Man: No Way Home,"$31,408,657"
Dec 20,,Monday,354,"$40,865,953",-42.1%,"+1,063.5%",29,Spider-Man: No Way Home,"$37,138,318"
Dec 19,,Sunday,353,"$70,605,790",-13.9%,+507.7%,31,Spider-Man: No Way Home,"$64,232,578"
Dec 18,,Saturday,352,"$82,033,791",-35.9%,+373.7%,31,Spider-Man: No Way Home,"$73,941,279"
Dec 17,,Friday,351,"$128,026,878","+4,761%",+982.5%,31,Spider-Man: No Way Home,"$121,964,712"
Dec 16,,Thursday,350,"$2,633,738",-26.6%,-32.8%,33,Encanto,"$734,586"
Dec 15,,Wednesday,349,"$3,586,725",-20%,-12.8%,34,West Side Story,"$968,259"
Dec 14,,Tuesday,348,"$4,482,456",+27.6%,-10.6%,35,West Side Story,"$1,303,008"
Dec 13,,Monday,347,"$3,512,281",-69.8%,-11.8%,35,West Side Story,"$1,015,089"
Dec 12,,Sunday,346,"$11,619,341",-32.9%,-18.9%,36,Encanto,"$3,190,574"
Dec 11,,Saturday,345,"$17,318,645",+46.4%,-15.9%,36,Encanto,"$4,514,674"
Dec 10,,Friday,344,"$11,827,462",+201.8%,-6%,36,West Side Story,"$4,133,219"
Dec 9,,Thursday,343,"$3,918,876",-4.8%,-41.4%,35,Encanto,"$808,467"
Dec 8,,Wednesday,342,"$4,115,450",-17.9%,-43.2%,35,Encanto,"$840,976"
Dec 7,,Tuesday,341,"$5,014,047",+25.9%,-21.2%,35,Encanto,"$1,115,755"
Dec 6,,Monday,340,"$3,983,231",-72.2%,-21.8%,35,Encanto,"$786,598"
Dec 5,,Sunday,339,"$14,319,631",-30.5%,-31.3%,36,Encanto,"$4,261,705"
Dec 4,,Saturday,338,"$20,594,785",+63.6%,-40.9%,36,Encanto,"$5,816,182"
Dec 3,,Friday,337,"$12,585,904",+88.1%,-66%,36,Encanto,"$3,069,731"
Dec 2,,Thursday,336,"$6,692,578",-7.6%,-66.2%,32,Christmas with the Chosen: The Messengers,"$2,200,000"
Dec 1,,Wednesday,335,"$7,242,975",+13.9%,-70.7%,33,Christmas with the Chosen: The Messengers,"$2,700,000"
Nov 30,,Tuesday,334,"$6,360,147",+24.9%,-36.4%,32,House of Gucci,"$1,487,659"
Nov 29,,Monday,333,"$5,090,601",-75.6%,-41.6%,32,Encanto,"$1,184,398"
Nov 28,,Sunday,332,"$20,849,510",-40.2%,-2.1%,35,Encanto,"$6,350,371"
Nov 27,,Saturday,331,"$34,854,917",-5.8%,+8.3%,35,Encanto,"$9,780,990"
Nov 26,,Friday,330,"$37,020,099",+86.8%,+37.7%,36,Encanto,"$11,075,133"
Nov 25,Thanksgiving,Thursday,329,"$19,817,511",+479.7%,-27.4%,35,Encanto,"$5,807,558"
Nov 24,,Wednesday,328,"$24,714,679",+147%,+483.4%,37,Encanto,"$7,553,221"
Nov 23,,Tuesday,327,"$10,007,692",+14.7%,+83.4%,32,Ghostbusters: Afterlife,"$4,652,233"
Nov 22,,Monday,326,"$8,721,940",-59.1%,+105.3%,34,Ghostbusters: Afterlife,"$3,847,490"
Nov 21,,Sunday,325,"$21,304,289",-33.8%,+20%,35,Ghostbusters: Afterlife,"$10,918,188"
Nov 20,,Saturday,324,"$32,184,195",+19.8%,+9.9%,36,Ghostbusters: Afterlife,"$16,437,835"
Nov 19,,Friday,323,"$26,875,314",+604.2%,+42.8%,37,Ghostbusters: Afterlife,"$16,652,383"
Nov 18,,Thursday,322,"$3,816,174",-9.9%,-73.3%,27,Eternals,"$1,378,464"
Nov 17,,Wednesday,321,"$4,236,052",-22.3%,-55.5%,27,Eternals,"$1,614,457"
Nov 16,,Tuesday,320,"$5,455,298",+28.4%,-35.3%,27,Eternals,"$2,181,960"
Nov 15,,Monday,319,"$4,248,277",-76.1%,-38.7%,27,Eternals,"$1,701,899"
Nov 14,,Sunday,318,"$17,747,230",-39.4%,-29.7%,28,Eternals,"$7,141,461"
Nov 13,,Saturday,317,"$29,291,422",+55.7%,-23.6%,28,Eternals,"$11,868,839"
Nov 12,,Friday,316,"$18,814,075",+31.8%,-53.5%,28,Eternals,"$7,839,828"
Nov 11,,Thursday,315,"$14,279,388",+49.9%,+218.7%,31,Eternals,"$6,243,758"
Nov 10,,Wednesday,314,"$9,527,404",+13%,+70.8%,32,Eternals,"$4,211,822"
Nov 9,,Tuesday,313,"$8,433,267",+21.7%,+21.6%,31,Eternals,"$5,250,371"
Nov 8,,Monday,312,"$6,931,457",-72.5%,+16.5%,32,Eternals,"$4,262,085"
Nov 7,,Sunday,311,"$25,233,076",-34.2%,+61.2%,35,Eternals,"$16,328,496"
Nov 6,,Saturday,310,"$38,349,424",-5.2%,+52.7%,35,Eternals,"$24,124,504"
Nov 5,,Friday,309,"$40,472,345",+803.3%,+92.4%,35,Eternals,"$30,844,219"
Nov 4,,Thursday,308,"$4,480,704",-19.7%,+14.6%,30,Dune,"$1,278,024"
Nov 3,,Wednesday,307,"$5,577,587",-19.5%,+40.7%,30,Dune,"$1,882,062"
Nov 2,,Tuesday,306,"$6,932,916",+16.5%,+43.7%,30,Dune,"$2,135,905"
Nov 1,,Monday,305,"$5,950,319",-62%,+41.3%,30,Dune,"$1,745,453"
Oct 31,Halloween,Sunday,304,"$15,649,454",-37.7%,-33.6%,34,Dune,"$3,958,751"
Oct 30,,Saturday,303,"$25,109,701",+19.4%,-31.6%,34,Dune,"$6,513,629"
Oct 29,,Friday,302,"$21,033,298",+438.2%,-36.8%,34,Dune,"$4,941,106"
Oct 28,,Thursday,301,"$3,908,400",-1.4%,-32.8%,29,No Time to Die,"$1,207,256"
Oct 27,,Wednesday,300,"$3,964,328",-17.8%,-40.7%,28,No Time to Die,"$1,212,289"
Oct 26,,Tuesday,299,"$4,823,445",+14.5%,-42.5%,29,No Time to Die,"$1,469,567"
Oct 25,,Monday,298,"$4,211,230",-82.1%,-45%,29,No Time to Die,"$1,264,170"
Oct 24,,Sunday,297,"$23,567,302",-35.8%,-4.2%,31,Dune,"$8,900,000"
Oct 23,,Saturday,296,"$36,689,902",+10.3%,-13.6%,31,Dune,"$13,700,000"
Oct 22,,Friday,295,"$33,272,239",+472.1%,-16.5%,31,Dune,"$17,500,000"
Oct 21,,Thursday,294,"$5,815,496",-13%,-14.3%,28,No Time to Die,"$1,928,467"
Oct 20,,Wednesday,293,"$6,681,073",-20.3%,-12.1%,28,No Time to Die,"$2,292,823"
Oct 19,,Tuesday,292,"$8,384,436",+9.6%,-11.5%,28,Halloween Kills,"$2,742,380"
Oct 18,,Monday,291,"$7,652,625",-68.9%,-45.8%,28,Halloween Kills,"$2,720,460"
Oct 17,,Sunday,290,"$24,592,538",-42.1%,-15.7%,30,Halloween Kills,"$9,249,355"
Oct 16,,Saturday,289,"$42,458,355",+6.5%,+6.8%,30,Halloween Kills,"$17,324,690"
Oct 15,,Friday,288,"$39,854,941",+487%,+4.6%,30,Halloween Kills,"$22,830,935"
Oct 14,,Thursday,287,"$6,789,384",-10.6%,+25.5%,29,No Time to Die,"$3,608,414"
Oct 13,,Wednesday,286,"$7,596,659",-19.8%,+16.4%,29,No Time to Die,"$4,190,316"
Oct 12,,Tuesday,285,"$9,476,934",-32.9%,+1.7%,29,No Time to Die,"$5,248,341"
Oct 11,Indig. Peoples' Day,Monday,284,"$14,128,312","+1,391.1%",-25.5%,29,No Time to Die,"$6,938,476"
Oct 10,,Sunday,283,"$29,186,499",-26.6%,-1%,31,No Time to Die,"$13,760,317"
