date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31,New Year's Eve,Thursday,365,"$46,868,992",+40.3%,+53.8%,47,Star Wars: Episode VII - The Force Awakens,"$22,932,686"
Dec 30,,Wednesday,364,"$54,777,964",-1.4%,+5.6%,48,Star Wars: Episode VII - The Force Awakens,"$28,085,057"
Dec 29,,Tuesday,363,"$55,562,793",+1.5%,+9.3%,47,Star Wars: Episode VII - The Force Awakens,"$29,528,583"
Dec 28,,Monday,362,"$54,748,725",-28.6%,+7.4%,47,Star Wars: Episode VII - The Force Awakens,"$31,362,029"
Dec 27,,Sunday,361,"$76,637,723",-24%,-1.2%,47,Star Wars: Episode VII - The Force Awakens,"$43,145,665"
Dec 26,,Saturday,360,"$100,899,732",+5.3%,+12.7%,47,Star Wars: Episode VII - The Force Awakens,"$56,731,532"
Dec 25,Christmas Day,Friday,359,"$95,835,574",+162.6%,-29.2%,46,Star Wars: Episode VII - The Force Awakens,"$49,325,663"
Dec 24,,Thursday,358,"$36,498,889",-29.6%,+691.5%,45,Star Wars: Episode VII - The Force Awakens,"$27,395,725"
Dec 23,,Wednesday,357,"$51,875,572",+2%,+800.8%,47,Star Wars: Episode VII - The Force Awakens,"$38,022,183"
Dec 22,,Tuesday,356,"$50,838,630",-0.3%,+595.6%,47,Star Wars: Episode VII - The Force Awakens,"$37,361,729"
Dec 21,,Monday,355,"$50,973,958",-34.3%,+786.3%,47,Star Wars: Episode VII - The Force Awakens,"$40,109,742"
Dec 20,,Sunday,354,"$77,558,069",-13.3%,+326.4%,46,Star Wars: Episode VII - The Force Awakens,"$60,553,189"
Dec 19,,Saturday,353,"$89,504,402",-33.9%,+204.7%,46,Star Wars: Episode VII - The Force Awakens,"$68,294,204"
Dec 18,,Friday,352,"$135,434,693","+2,837.1%",+607.8%,47,Star Wars: Episode VII - The Force Awakens,"$119,119,282"
Dec 17,,Thursday,351,"$4,611,212",-19.9%,-22.2%,47,The Hunger Games: Mockingjay - Part 2,"$875,470"
Dec 16,,Wednesday,350,"$5,759,058",-21.2%,-6.1%,48,The Hunger Games: Mockingjay - Part 2,"$1,030,120"
Dec 15,,Tuesday,349,"$7,308,788",+27.1%,-9%,47,In the Heart of the Sea,"$1,362,181"
Dec 14,,Monday,348,"$5,751,011",-68.4%,-4.3%,47,In the Heart of the Sea,"$1,053,372"
Dec 13,,Sunday,347,"$18,189,664",-38.1%,-19.2%,46,The Good Dinosaur,"$3,160,217"
Dec 12,,Saturday,346,"$29,371,556",+53.5%,-23.7%,45,The Hunger Games: Mockingjay - Part 2,"$5,021,834"
Dec 11,,Friday,345,"$19,134,232",+222.8%,-25.8%,46,In the Heart of the Sea,"$3,849,684"
Dec 10,,Thursday,344,"$5,927,446",-3.4%,-19.9%,46,The Hunger Games: Mockingjay - Part 2,"$1,284,836"
Dec 9,,Wednesday,343,"$6,135,220",-23.6%,-19.4%,47,The Hunger Games: Mockingjay - Part 2,"$1,380,282"
Dec 8,,Tuesday,342,"$8,029,022",+33.7%,-24.2%,47,The Hunger Games: Mockingjay - Part 2,"$1,790,383"
Dec 7,,Monday,341,"$6,006,901",-73.3%,-30.6%,47,The Hunger Games: Mockingjay - Part 2,"$1,365,908"
Dec 6,,Sunday,340,"$22,501,859",-41.5%,-37.2%,46,The Hunger Games: Mockingjay - Part 2,"$4,891,690"
Dec 5,,Saturday,339,"$38,475,436",+49.2%,-40.8%,45,The Hunger Games: Mockingjay - Part 2,"$8,301,010"
Dec 4,,Friday,338,"$25,784,262",+248.5%,-61.5%,46,Krampus,"$6,021,050"
Dec 3,,Thursday,337,"$7,398,780",-2.8%,-76.7%,41,The Hunger Games: Mockingjay - Part 2,"$2,131,846"
Dec 2,,Wednesday,336,"$7,614,692",-28.1%,-80.4%,42,The Hunger Games: Mockingjay - Part 2,"$2,186,352"
