date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31,New Year's Eve,Thursday,365,"$49,529,328",+62.5%,+59%,43,Avatar,"$14,738,136"
Dec 30,,Wednesday,364,"$56,270,986",-1.4%,+23%,44,Avatar,"$18,466,123"
Dec 29,,Tuesday,363,"$57,089,938",-2%,+109.5%,44,Avatar,"$18,290,628"
Dec 28,,Monday,362,"$58,275,197",-23.2%,+119.5%,44,Avatar,"$19,418,139"
Dec 27,,Sunday,361,"$75,875,354",-21.5%,+90.5%,45,Avatar,"$24,247,681"
Dec 26,,Saturday,360,"$96,714,019",+17.1%,+116.8%,46,Avatar,"$28,274,406"
Dec 25,Christmas Day,Friday,359,"$82,622,672",+208.2%,+97.1%,46,Sherlock Holmes,"$24,608,941"
Dec 24,,Thursday,358,"$26,807,039",-41.4%,+295.6%,43,Avatar,"$11,150,998"
Dec 23,,Wednesday,357,"$45,745,826",+67.9%,+603.4%,45,Alvin and the Chipmunks: The Squeakquel,"$18,801,277"
Dec 22,,Tuesday,356,"$27,253,397",+2.6%,+288%,44,Avatar,"$16,086,461"
Dec 21,,Monday,355,"$26,550,599",-33.3%,+330%,44,Avatar,"$16,385,820"
Dec 20,,Sunday,354,"$39,820,865",-10.7%,+85.2%,47,Avatar,"$24,744,346"
Dec 19,,Saturday,353,"$44,612,737",+6.4%,+22.8%,48,Avatar,"$25,529,036"
Dec 18,,Friday,352,"$41,910,131",+518.4%,+68.9%,48,Avatar,"$26,752,099"
Dec 17,,Thursday,351,"$6,776,918",+4.2%,+13.9%,53,The Princess and the Frog,"$1,381,295"
Dec 16,,Wednesday,350,"$6,503,703",-7.4%,+14.1%,53,The Princess and the Frog,"$1,285,727"
Dec 15,,Tuesday,349,"$7,023,436",+13.8%,+5.6%,51,The Princess and the Frog,"$1,443,313"
Dec 14,,Monday,348,"$6,173,857",-71.3%,+1.9%,51,The Princess and the Frog,"$1,332,651"
Dec 13,,Sunday,347,"$21,500,688",-40.8%,-1.7%,55,The Princess and the Frog,"$6,663,537"
Dec 12,,Saturday,346,"$36,336,175",+46.4%,-0.4%,54,The Princess and the Frog,"$10,522,644"
Dec 11,,Friday,345,"$24,819,649",+317%,-11%,54,The Princess and the Frog,"$7,022,735"
Dec 10,,Thursday,344,"$5,952,132",+4.4%,-27.3%,49,The Blind Side,"$1,468,459"
Dec 9,,Wednesday,343,"$5,702,413",-14.2%,-30.5%,49,The Blind Side,"$1,413,948"
Dec 8,,Tuesday,342,"$6,649,717",+9.7%,-29.1%,49,The Blind Side,"$1,569,402"
Dec 7,,Monday,341,"$6,060,017",-72.3%,-31.9%,49,The Blind Side,"$1,442,171"
Dec 6,,Sunday,340,"$21,871,872",-40%,-37.5%,53,The Blind Side,"$4,726,463"
Dec 5,,Saturday,339,"$36,479,563",+30.8%,-45.7%,54,The Blind Side,"$8,547,892"
Dec 4,,Friday,338,"$27,885,964",+240.5%,-60.3%,53,The Blind Side,"$6,768,826"
Dec 3,,Thursday,337,"$8,189,172",-0.1%,-79.3%,49,The Twilight Saga: New Moon,"$2,104,795"
Dec 2,,Wednesday,336,"$8,201,186",-12.5%,-79.2%,49,The Blind Side,"$2,127,457"
Dec 1,,Tuesday,335,"$9,378,112",+5.4%,-61.2%,49,The Twilight Saga: New Moon,"$2,394,975"
Nov 30,,Monday,334,"$8,898,956",-74.6%,-56.2%,49,The Twilight Saga: New Moon,"$2,386,972"
Nov 29,,Sunday,333,"$34,993,779",-47.9%,-37.7%,53,The Twilight Saga: New Moon,"$8,635,398"
Nov 28,,Saturday,332,"$67,155,210",-4.5%,-22.3%,54,The Twilight Saga: New Moon,"$16,523,369"
Nov 27,,Friday,331,"$70,309,938",+77.4%,-32.6%,54,The Twilight Saga: New Moon,"$17,711,264"
Nov 26,Thanksgiving,Thursday,330,"$39,633,115",+20.7%,+31.6%,53,The Blind Side,"$9,489,335"
