date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31,New Year's Eve,Thursday,366,"$3,838,175",+14.8%,+232.9%,3,A Few Good Men,"$3,372,293"
Dec 30,,Wednesday,365,"$3,342,216",-4.8%,+91.6%,3,A Few Good Men,"$2,812,317"
Dec 29,,Tuesday,364,"$3,512,357",+7.9%,+106.3%,3,A Few Good Men,"$2,883,827"
Dec 28,,Monday,363,"$3,255,503",-41.5%,+140.8%,3,A Few Good Men,"$2,621,455"
Dec 27,,Sunday,362,"$5,569,184",-29.6%,+69.7%,3,A Few Good Men,"$4,226,916"
Dec 26,,Saturday,361,"$7,911,349",+3.7%,+70.9%,3,A Few Good Men,"$6,021,172"
Dec 25,Christmas Day,Friday,360,"$7,627,114",+165.8%,"+3,222%",4,A Few Good Men,"$3,360,029"
Dec 24,,Thursday,359,"$1,152,893",-33.9%,-11.9%,2,A Few Good Men,"$1,090,304"
Dec 23,,Wednesday,358,"$1,744,445",+2.5%,+44.6%,2,A Few Good Men,"$1,684,206"
Dec 22,,Tuesday,357,"$1,702,256",+25.9%,+11.6%,1,A Few Good Men,"$1,702,256"
Dec 21,,Monday,356,"$1,352,163",-58.8%,+3.1%,1,A Few Good Men,"$1,352,163"
Dec 20,,Sunday,355,"$3,282,301",-29.1%,-17.2%,1,A Few Good Men,"$3,282,301"
Dec 19,,Saturday,354,"$4,629,436",+43.2%,-27.7%,1,A Few Good Men,"$4,629,436"
Dec 18,,Friday,353,"$3,233,640",+147.1%,-37.5%,1,A Few Good Men,"$3,233,640"
Dec 17,,Thursday,352,"$1,308,721",+8.5%,"+43,538.6%",2,A Few Good Men,"$1,306,472"
Dec 16,,Wednesday,351,"$1,206,095",-20.9%,"+25,248.8%",2,A Few Good Men,"$1,202,669"
Dec 15,,Tuesday,350,"$1,525,529",+16.3%,"+27,127%",2,A Few Good Men,"$1,521,327"
Dec 14,,Monday,349,"$1,312,100",-66.9%,"+26,787.3%",2,A Few Good Men,"$1,308,586"
Dec 13,,Sunday,348,"$3,963,973",-38.1%,"+42,386.3%",2,A Few Good Men,"$3,957,629"
Dec 12,,Saturday,347,"$6,403,338",+23.8%,"+38,031%",2,A Few Good Men,"$6,392,423"
Dec 11,,Friday,346,"$5,173,212","+172,397.9%","+55,234.4%",2,A Few Good Men,"$5,167,416"
Dec 10,,Thursday,345,"$2,999",-37%,-45%,1,Unforgiven,"$2,999"
Dec 9,,Wednesday,344,"$4,758",-15.1%,-30%,1,Unforgiven,"$4,758"
Dec 8,,Tuesday,343,"$5,603",+14.8%,-25%,1,Unforgiven,"$5,603"
Dec 7,,Monday,342,"$4,880",-47.7%,-30%,1,Unforgiven,"$4,880"
Dec 6,,Sunday,341,"$9,330",-44.4%,-35%,1,Unforgiven,"$9,330"
Dec 5,,Saturday,340,"$16,793",+79.6%,-31%,1,Unforgiven,"$16,793"
Dec 4,,Friday,339,"$9,349",+71.5%,-58%,1,Unforgiven,"$9,349"
