date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31,New Year's Eve,Saturday,365,"$3,511,446",-22.4%,+136.9%,2,Little Women,"$2,001,126"
Dec 30,,Friday,364,"$4,522,587",+29.7%,+40.6%,2,Little Women,"$2,482,787"
Dec 29,,Thursday,363,"$3,486,728",-1.1%,"+5,166.9%",2,Little Women,"$2,036,728"
Dec 28,,Wednesday,362,"$3,524,494",-4.4%,"+6,072.9%",2,Little Women,"$2,024,494"
Dec 27,,Tuesday,361,"$3,686,914",-33.5%,-,2,Little Women,"$2,032,624"
Dec 26,,Monday,360,"$5,540,576",+21.2%,-,2,Little Women,"$2,892,041"
Dec 25,Christmas Day,Sunday,359,"$4,571,627",+264.6%,-,2,Street Fighter,"$2,339,425"
Dec 24,,Saturday,358,"$1,482,516",-53.9%,-,2,Street Fighter,"$1,395,295"
Dec 23,,Friday,357,"$3,216,599","+4,758.8%",-,2,Street Fighter,"$3,124,775"
Dec 22,,Thursday,356,"$66,201",+15.9%,-,2,Little Women,"$61,853"
Dec 21,,Wednesday,355,"$57,096",-,-,1,Little Women,"$57,096"
Oct 20,,Thursday,293,"$4,015",+18.3%,-72.6%,1,Jurassic Park,"$4,015"
Oct 19,,Wednesday,292,"$3,395",-13.4%,-71.6%,1,Jurassic Park,"$3,395"
Oct 18,,Tuesday,291,"$3,920",+14.3%,-69.9%,1,Jurassic Park,"$3,920"
Oct 17,,Monday,290,"$3,430",-93.2%,-91.6%,1,Jurassic Park,"$3,430"
Oct 16,,Sunday,289,"$50,460",-16.3%,-63.2%,1,Jurassic Park,"$50,460"
Oct 15,,Saturday,288,"$60,320",+23.8%,-66.7%,1,Jurassic Park,"$60,320"
Oct 14,,Friday,287,"$48,720",+232.1%,-58.1%,1,Jurassic Park,"$48,720"
Oct 13,,Thursday,286,"$14,670",+22.8%,-42.9%,2,Jurassic Park,"$7,705"
Oct 12,,Wednesday,285,"$11,950",-8.3%,-50.8%,2,Jurassic Park,"$6,975"
