date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31,New Year's Eve,Monday,365,"$36,240,441",-19.6%,-14.2%,53,Aquaman,"$10,011,638"
Dec 30,,Sunday,364,"$50,932,176",-12.4%,+2.9%,51,Aquaman,"$16,440,551"
Dec 29,,Saturday,363,"$58,118,460",+2.6%,+4.6%,51,Aquaman,"$18,632,907"
Dec 28,,Friday,362,"$56,667,767",+9.7%,-2.9%,51,Aquaman,"$17,041,113"
Dec 27,,Thursday,361,"$51,671,321",-7%,+299.2%,53,Aquaman,"$14,622,228"
Dec 26,,Wednesday,360,"$55,579,761",-21.6%,+261.8%,52,Aquaman,"$16,903,518"
Dec 25,Christmas Day,Tuesday,359,"$70,898,743",-3.4%,+30%,53,Aquaman,"$21,982,419"
Dec 24,,Monday,358,"$31,752,644",-35.8%,+184.5%,49,Aquaman,"$10,851,928"
Dec 23,,Sunday,357,"$49,473,471",-10.9%,+72.7%,53,Aquaman,"$18,793,733"
Dec 22,,Saturday,356,"$55,554,266",-4.8%,+29.8%,52,Aquaman,"$21,346,634"
Dec 21,,Friday,355,"$58,331,971",+350.7%,+83.2%,53,Aquaman,"$27,733,155"
Dec 20,,Thursday,354,"$12,943,731",-15.7%,+145.9%,60,Mary Poppins Returns,"$4,051,124"
Dec 19,,Wednesday,353,"$15,362,046",+7.6%,+146.4%,63,Mary Poppins Returns,"$4,763,547"
Dec 18,,Tuesday,352,"$14,278,049",+27.9%,+61.1%,59,Spider-Man: Into the Spider-Verse,"$4,301,097"
Dec 17,,Monday,351,"$11,160,534",-61%,+104.5%,61,Spider-Man: Into the Spider-Verse,"$2,765,829"
Dec 16,,Sunday,350,"$28,645,794",-33.1%,+35.6%,62,Spider-Man: Into the Spider-Verse,"$9,685,478"
Dec 15,,Saturday,349,"$42,788,962",+34.4%,+25.4%,65,Spider-Man: Into the Spider-Verse,"$13,012,817"
Dec 14,,Friday,348,"$31,834,524",+504.7%,+71%,60,Spider-Man: Into the Spider-Verse,"$12,665,081"
Dec 13,,Thursday,347,"$5,264,085",-15.6%,-25.3%,63,The Grinch,"$987,880"
Dec 12,,Wednesday,346,"$6,234,474",-29.7%,-17.9%,64,The Grinch,"$970,245"
Dec 11,,Tuesday,345,"$8,862,469",+62.4%,-23.6%,61,The Grinch,"$1,533,720"
Dec 10,,Monday,344,"$5,456,743",-74.2%,-18.5%,62,The Grinch,"$893,640"
Dec 9,,Sunday,343,"$21,129,847",-38.1%,-30.3%,63,Ralph Breaks the Internet,"$4,975,604"
Dec 8,,Saturday,342,"$34,133,076",+83.4%,-28%,62,Ralph Breaks the Internet,"$7,762,516"
Dec 7,,Friday,341,"$18,614,792",+164.3%,-34.5%,61,Ralph Breaks the Internet,"$3,515,711"
Dec 6,,Thursday,340,"$7,043,951",-7.2%,-24.2%,54,Creed II,"$1,107,634"
Dec 5,,Wednesday,339,"$7,589,749",-34.6%,-19.2%,52,Ralph Breaks the Internet,"$1,218,513"
Dec 4,,Tuesday,338,"$11,596,578",+73.1%,-25.4%,54,Ralph Breaks the Internet,"$2,139,443"
Dec 3,,Monday,337,"$6,698,881",-77.9%,-38.2%,54,Ralph Breaks the Internet,"$1,152,644"
Dec 2,,Sunday,336,"$30,318,732",-36.1%,-35.2%,55,Ralph Breaks the Internet,"$7,909,049"
Dec 1,,Saturday,335,"$47,431,308",+66.8%,-39.5%,54,Ralph Breaks the Internet,"$11,908,969"
Nov 30,,Friday,334,"$28,440,698",+206%,-63.9%,54,Ralph Breaks the Internet,"$5,748,927"
Nov 29,,Thursday,333,"$9,295,049",-1.1%,-76.8%,58,Ralph Breaks the Internet,"$1,650,373"
Nov 28,,Wednesday,332,"$9,398,372",-39.5%,-82.8%,55,Creed II,"$1,702,204"
