date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Jun 9,,Thursday,160,"$104,608",-1.6%,-97.3%,1,E.T. the Extra-Terrestrial,"$104,608"
Jun 8,,Wednesday,159,"$106,281",-10.4%,-97.3%,1,E.T. the Extra-Terrestrial,"$106,281"
Jun 7,,Tuesday,158,"$118,584",+10%,-97.2%,1,E.T. the Extra-Terrestrial,"$118,584"
Jun 6,,Monday,157,"$107,796",-98%,-98.6%,1,E.T. the Extra-Terrestrial,"$107,796"
Jun 5,,Sunday,156,"$5,482,410",-25.3%,-39.1%,2,Star Wars: Episode VI - Return of the Jedi,"$5,199,107"
Jun 4,,Saturday,155,"$7,334,452",+36.7%,-15.6%,2,Star Wars: Episode VI - Return of the Jedi,"$6,846,168"
Jun 3,,Friday,154,"$5,366,766",+38.8%,-20.8%,2,Star Wars: Episode VI - Return of the Jedi,"$5,084,419"
Jun 2,,Thursday,153,"$3,865,405",-2.2%,-13.8%,2,Star Wars: Episode VI - Return of the Jedi,"$3,763,300"
Jun 1,,Wednesday,152,"$3,952,939",-8%,-37.1%,2,Star Wars: Episode VI - Return of the Jedi,"$3,836,389"
May 31,,Tuesday,151,"$4,297,861",-44.6%,"+6,139.1%",2,Star Wars: Episode VI - Return of the Jedi,"$4,179,605"
May 30,Memorial Day,Monday,150,"$7,751,836",-13.8%,"+10,341.7%",2,Star Wars: Episode VI - Return of the Jedi,"$7,471,001"
May 29,,Sunday,149,"$8,997,068",+3.6%,"+3,539.7%",2,Star Wars: Episode VI - Return of the Jedi,"$8,440,105"
May 28,,Saturday,148,"$8,688,370",+28.3%,"+2,448%",2,Star Wars: Episode VI - Return of the Jedi,"$8,142,508"
May 27,,Friday,147,"$6,772,145",+51%,"+3,112.4%",2,Star Wars: Episode VI - Return of the Jedi,"$6,437,005"
May 26,,Thursday,146,"$4,483,552",-28.6%,"+8,838.5%",2,Star Wars: Episode VI - Return of the Jedi,"$4,421,151"
May 25,,Wednesday,145,"$6,282,526","+9,020.2%","+14,329.7%",2,Star Wars: Episode VI - Return of the Jedi,"$6,219,629"
May 24,,Tuesday,144,"$68,886",-7.2%,+39.6%,1,E.T. the Extra-Terrestrial,"$68,886"
May 23,,Monday,143,"$74,239",-70%,+81.4%,1,E.T. the Extra-Terrestrial,"$74,239"
May 22,,Sunday,142,"$247,190",-27.5%,+46.8%,1,E.T. the Extra-Terrestrial,"$247,190"
May 21,,Saturday,141,"$340,982",+61.7%,+41.1%,1,E.T. the Extra-Terrestrial,"$340,982"
May 20,,Friday,140,"$210,812",+320.3%,+45.3%,1,E.T. the Extra-Terrestrial,"$210,812"
May 19,,Thursday,139,"$50,160",+15.2%,+32.3%,1,E.T. the Extra-Terrestrial,"$50,160"
May 18,,Wednesday,138,"$43,539",-11.8%,-6.5%,1,E.T. the Extra-Terrestrial,"$43,539"
May 17,,Tuesday,137,"$49,354",+20.6%,-1.8%,1,E.T. the Extra-Terrestrial,"$49,354"
May 16,,Monday,136,"$40,932",-75.7%,-14.5%,1,E.T. the Extra-Terrestrial,"$40,932"
May 15,,Sunday,135,"$168,400",-30.3%,+0.7%,1,E.T. the Extra-Terrestrial,"$168,400"
