date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31,New Year's Eve,Monday,365,"$29,166,378",+3.1%,+730.6%,20,The Lord of the Rings: The Fellowship of the Ring,"$8,008,803"
Dec 30,,Sunday,364,"$40,736,931",-15.5%,+5.7%,20,The Lord of the Rings: The Fellowship of the Ring,"$12,129,140"
Dec 29,,Saturday,363,"$48,231,889",+11.5%,+11%,20,The Lord of the Rings: The Fellowship of the Ring,"$13,998,713"
Dec 28,,Friday,362,"$43,245,576",+20.1%,+20.7%,20,The Lord of the Rings: The Fellowship of the Ring,"$12,567,729"
Dec 27,,Thursday,361,"$36,012,936",-7.7%,+114.1%,19,The Lord of the Rings: The Fellowship of the Ring,"$11,020,009"
Dec 26,,Wednesday,360,"$39,034,938",-5.8%,+55.5%,19,The Lord of the Rings: The Fellowship of the Ring,"$12,114,102"
Dec 25,Christmas Day,Tuesday,359,"$41,438,707",+23.6%,+806.4%,21,The Lord of the Rings: The Fellowship of the Ring,"$11,570,303"
Dec 24,,Monday,358,"$18,398,566",-52.3%,+149.7%,18,The Lord of the Rings: The Fellowship of the Ring,"$7,332,948"
Dec 23,,Sunday,357,"$38,548,273",-11.3%,+72.8%,18,The Lord of the Rings: The Fellowship of the Ring,"$15,915,778"
Dec 22,,Saturday,356,"$43,470,196",+21.4%,+19.9%,18,The Lord of the Rings: The Fellowship of the Ring,"$17,062,771"
Dec 21,,Friday,355,"$35,817,677",+112.9%,+27.3%,18,The Lord of the Rings: The Fellowship of the Ring,"$14,232,941"
Dec 20,,Thursday,354,"$16,820,775",-33%,+219.6%,18,The Lord of the Rings: The Fellowship of the Ring,"$9,703,767"
Dec 19,,Wednesday,353,"$25,095,013",+219.5%,+357.8%,18,The Lord of the Rings: The Fellowship of the Ring,"$18,214,211"
Dec 18,,Tuesday,352,"$7,855,020",+6.6%,+22.5%,17,Vanilla Sky,"$2,243,000"
Dec 17,,Monday,351,"$7,368,738",-67%,+33.2%,17,Vanilla Sky,"$2,236,000"
Dec 16,,Sunday,350,"$22,307,046",-38.5%,+10.8%,17,Vanilla Sky,"$6,397,000"
Dec 15,,Saturday,349,"$36,266,474",+28.9%,+4.7%,17,Vanilla Sky,"$9,761,000"
Dec 14,,Friday,348,"$28,134,919",+434.6%,+12.1%,17,Vanilla Sky,"$8,856,000"
Dec 13,,Thursday,347,"$5,263,237",-4%,+27.7%,14,Ocean's Eleven,"$2,658,349"
Dec 12,,Wednesday,346,"$5,481,897",-14.5%,+29.9%,14,Ocean's Eleven,"$2,892,519"
Dec 11,,Tuesday,345,"$6,410,273",+15.9%,+34.3%,14,Ocean's Eleven,"$3,532,479"
